Market_cap,Name,Percent_change_7d,Price,Percent_change_24h,Volume_24h,Circulating_supply,Symbol
4853.196649,Comet,-16.97,0.0055603,,19.7093,,CMT
4606.22821681,PosEx,25.33,0.00187761,14.06,22.0049,2453240.13869,PEX
4546.15914015,BitTokens,2.77,0.00967587,-0.72,6.87277,469845.0,BXT
4464.17868651,High Voltage,-36.52,0.00298773,-11.73,0.150099,1494170.72042,HVCO
4370.26705551,Metal Music Coin,-1.51,5.48208e-05,4.07,4.60937,79719140.4633,MTLMC3
4359.04588528,JobsCoin,-14.42,4.11156e-05,4.07,1.00193,106019269.7,JOBS
4231.32749134,Kittehcoin,104.20,1.77001e-07,-16.79,2.10305,,MEOW
4171.86814862,Revenu,-2.50,0.00348957,31.83,45.6875,1195524.99266,REV
3980.361,Xonecoin,21.76,0.00947705,,0.0,,XOC
3709.82545584,TAGRcoin,-1.55,9.59364e-05,4.07,10.3479,38669633.7974,TAGR
3415.58934937,Concoin,-18.89,0.00593435,60.93,29.5404,575562.504633,CONX
3249.34732375,SydPak,12.09,0.0205195,,0.0,158354.117973,SDP
3236.28243368,Rawcoin,-11.13,0.00459124,-0.39,31.3535,704882.0,XRC
3199.368006,Californium,-11.65,0.0287946,-14.89,48.5807,111110.0,CF
3158.05613088,DPAY,8.66,3.97035e-05,0.49,0.0,,DPAY
3078.40475426,Coinonat,16.64,0.00261769,3.52,216.197,1176000.50207,CXT
3052.15235508,ImpulseCoin,-8.22,0.000150757,4.07,10.8302,20245510.0266,IMPS
3007.40008783,JIO Token,-28.11,0.0015761,-27.85,137.696,1908127.7126,JIO
2765.23864149,Zonecoin,4.68,0.00107098,,0.0,2581970.38365,ZNE
2476.45053623,BioBar,-56.76,0.00279586,-32.44,134.405,885756.274,BIOB
2109.31179228,Guarany,-48.98,0.00591261,-14.35,40.5308,356748.0,GUA
2088.98688916,Antilitecoin,8.85,6.62905e-05,,0.0,31512613.2578,ALTC
2021.92701913,GeertCoin,0.96,0.000452272,-28.45,29.4183,4470599.593,GEERT
1790.55425639,Save and Gain,16.99,0.000584232,0.82,0.0,3064800.039,SANDG
1777.85344167,Enigma,,0.106928,-2.25,204.846,16626.6407458,XNG
1518.22028195,NodeCoin,-15.32,0.000904543,9.02,4.52272,1678439.03712,NODC
1472.91732829,Cashcoin,-2.59,4.11072e-05,4.05,0.164703,35831127.5954,CASH
1461.38505557,Impeachcoin,,0.004742,-4.39,62.21,308179.0501,IMPCH
1424.30618624,Selfiecoin,8.45,1.32089e-05,,0.0,107829280.731,SLFI
1403.192628,Shilling,-19.65,0.000493387,4.07,6.8526,2844000.0,SH
1381.21564817,Argus,55.43,0.00120281,67.08,79.3605,1148324.048,ARGUS
1354.0519074,1CRedit,,0.0153498,13.21,0.161105,88213.0,1CR
1294.47385888,Doubloon,898.51,0.000364862,2.06,109.674,3547845.1,BOAT
829.944154539,Xenixcoin,23.25,0.0821764,9.53,19.1873,10099.5438415,XEN
746.131523548,Dollar Online,-8.68,0.0084424,-1.53,22.5818,88379.07746,DOLLAR
744.620623305,HamRadioCoin,0.23,0.000150757,-4.60,0.233509,4939210.9375,HAM
685.038935124,Powercoin,12.52,1.37052e-05,4.07,7.37928,49983870.0,PWR
619.693763921,Zcashshare,5.90,0.000219283,4.07,35.0709,2826000.027,ZHS
583.27349805,Mbitbooks,,0.0153009,,0.0,38120.2084877,MBIT
463.589904699,P7Coin,-45.97,1.31626e-05,-0.05,0.0,35220238.0,P7C
399.259064763,Digital Credits,181.30,6.8526e-05,15.62,393.924,5826388.00985,DGCS
302.153813938,PizzaCoin,,0.000219283,51.37,50.8354,1377917.18436,PIZZA
272.93039,AllSafe,-93.56,3.84409e-07,245.73,300.341,710000000.0,ASAFE
217.238680574,CRTCoin,12.51,0.00274048,4.05,1.37024e-08,79270.303222,CRT
84.69265392,Cashout,12.52,1.37052e-05,4.07,0.67505,6179600.0,CSH
40.9834744306,World Gold Coin,8.46,1.32111e-05,,0.0,3102200.0008,WGC
5.57442874831,SwapToken,-96.54,1.58768e-07,-57.85,0.127014,35110530.7638,TOKEN
1.38041,MikeTheMug,574.80,1.38041e-06,-1.20,0.00118715,1000000.0,MUG
3.710175e-06,Dix Asset,-99.96,2.47345e-10,,None,15000.0,DIX
?,Soarcoin,4.00,0.0152007,-9.94,474.691,0.0,SOAR
?,23 Skidoo,16.55,5313.63,4.05,5925.7,None,CHAO
?,AMIS,,209.828,154.94,531.776,None,AMIS
?,Internet of T...,-31.26,150.757,-59.22,231.0,None,XOT
?,Bitcoin Unlim...,-41.67,78.1608,3.36,728.677,,BTU
?,Malcoin,,17.8596,4.07,35037.5,None,MALC
?,NxttyACCI,42.92,14.561,5.51,29.1219,None,ACCI
?,GoldUnionCoin,,12.3349,-3.27,77.5876,None,GUC
?,Fargocoin,3.79,6.77654,1.52,195972.0,None,FRGC
?,Forevercoin,,5.48218,4.07,38.4678,None,XFC
?,Internet of P...,8.95,4.45775,12.85,8626.49,None,IOP
?,E-coin,27.73,3.96699,2.12,1747.76,None,ECN
?,Pluton,-1.14,1.93478,-5.48,19864.1,None,PLU
?,Bitcore,,1.60973,26.05,1585.69,None,BTX
?,Altcoin,,1.5559,43.80,1461.17,None,ALT
?,Bitgem,115.56,1.2051,30.70,124.707,,BTG
?,TaaS (Pre-Lau...,25.15,1.08366,,87562.7,None,TAAS
?,TeslaCoilCoin,-39.67,1.02796,-43.69,540.485,None,TESLA
?,Pioneershares,-8.71,0.990446,,0.0,None,PIO
?,Fazzcoin,-24.39,0.835822,1.33,18863.3,None,FAZZ
?,TechShares,-21.91,0.739574,4.37,1514.3,None,THS
?,Yogold,-56.52,0.709632,2.88,6962.41,,YOG
?,DynamicCoin,0.01,0.499975,0.02,126863.0,None,DMC
?,Zilbercoin,-70.96,0.485799,-49.33,217573.0,None,ZBC
?,LEOcoin,0.85,0.436531,3.17,149107.0,None,LEO
?,Databits,21.01,0.43385,-3.66,60969.2,None,DTB
?,Decent (Pre-L...,-6.75,0.370452,-9.84,476.138,,DCT
?,ClubCoin,7.63,0.304139,2.58,53408.4,None,CLUB
?,GAYcoin,-88.56,0.245049,-12.81,40.5899,None,GAY
?,XDE II,-51.37,0.230217,-60.29,0.0314078,None,XDE2
?,DeusCoin,-4.03,0.191516,1.32,3458.9,None,DEUS
?,Tattoocoin (L...,,0.179776,174.26,762.912,None,TLE
?,BTCGold,,0.163572,,69.734,None,XBG
?,Pabyosi Coin ...,3.31,0.161583,3.01,3456.04,None,PCS
?,EB3 Coin,-35.47,0.15898,-15.08,47079.6,None,EB3
?,TROPTIONS,,0.134857,,0.0,None,TROPTIONS
?,WavesGo,,0.133489,182.46,11.4309,None,WGO
?,WA Space,10.88,0.131803,0.12,29045.2,None,WA
?,AlpaCoin,-1.13,0.126102,1.60,196.804,None,APC
?,DIBCOIN,36.99,0.123191,16.77,2.42872,None,DIBC
?,Wowecoin,-8.33,0.11,-6.68,26962.5,,WEC
?,DeepWebCash,11.83,0.096142,4.11,823.601,None,DWC
?,Golos Gold,-27.58,0.0936339,15.14,2916.0,None,GBG
?,AxFunds,-12.36,0.0913146,-6.12,9.04609,None,AXF
?,InvisibleCoin,,0.081313,4.07,0.240266,,IVZ
?,Tyrocoin,,0.0550401,9.43,3612.69,None,TYC
?,Digitalfund,21.11,0.0487301,14.50,12132.1,None,DTF
?,EDRCoin,39.57,0.038507,15.18,232.104,None,EDRC
?,LeCoin,163.64,0.0377838,105.47,5.95188,None,LEC
?,Omicron,-20.15,0.0335366,,0.838416,None,OMC
?,International...,22.30,0.0306311,,32.2179,,XID
?,CryptoBuck,-51.31,0.0274238,-22.49,99.1534,None,BUK
?,UtaCoin,-26.12,0.026917,59.83,1470.0,None,UTA
?,ZSEcoin,2.63,0.0260398,-0.74,0.454268,None,ZSE
?,LandCoin,9.05,0.0248109,12.83,518.784,None,LDCN
?,Mind Gene,60.97,0.0243953,-0.77,41766.3,,MG
?,Elacoin,1.85,0.0230474,-7.88,5946.27,None,ELC
?,President Joh...,13.47,0.0216011,1.84,0.0,None,GARY
?,Avoncoin,-33.59,0.0212705,-30.64,1426.52,None,ACN
?,RHFCoin,11.56,0.0210375,5.06,11838.3,None,RHFC
?,DeltaCredits,8.62,0.0152539,-8.37,230.484,,DCRE
?,Lepaoquan,71.28,0.0138671,23.71,1040730.0,None,HLB
?,VGINA,,0.0123073,,222.024,None,VGINA
?,GBCGoldCoin,1.01,0.011098,5.06,515.396,None,GBC
?,Dashs,,0.0106215,2.18,388.062,,DASHS
?,KolschCoin,18.79,0.00863428,,2.72945,None,TP1
?,ShellPay,103.86,0.00708538,5.83,2603.35,,SHELL
?,First Bitcoin,-26.65,0.0052114,-30.69,396.534,None,BIT
?,Opal,22.79,0.00436191,-7.46,2047.99,None,OPAL
?,Psilocybin,35.67,0.00401562,25.48,3.9306,,PSY
?,Sharkcoin,-7.05,0.00365318,5.81,418.459,,SAK
?,President Trump,24.90,0.00337188,23.38,214.967,None,PRES
?,Helleniccoin,68.35,0.00328925,4.07,243.91,,HNC
?,RoyalCoin 2,5.78,0.00323443,6.78,14.5494,None,RYCN
?,EggCoin,7.49,0.00322072,3.63,0.137107,,EGG
?,Bitcoin Scrypt,53.53,0.00291861,-6.08,1264.26,,BTCS
