"NAME","sub_area","OKRUG"
"Савёловский","Savelovskoe","Northern"
"Академический","Akademicheskoe","South-Western"
"Зюзино","Zjuzino","South-Western"
"Алтуфьевский","Altuf'evskoe","North-Eastern"
"Марфино","Marfino","North-Eastern"
"Чертаново Центральное","Chertanovo Central'noe","Southern"
"Отрадное","Otradnoe","North-Eastern"
"Арбат","Arbat","Central"
"Чертаново Южное","Chertanovo Juzhnoe","Southern"
"Бутырский","Butyrskoe","North-Eastern"
"Тверской","Tverskoe","Central"
"Чертаново Северное","Chertanovo Severnoe","Southern"
"Якиманка","Jakimanka","Central"
"Котловка","Kotlovka","South-Western"
"Останкинский","Ostankinskoe","North-Eastern"
"Донской","Donskoe","Southern"
"Бибирево","Bibirevo","North-Eastern"
"Бирюлёво Западное","Birjulevo Zapadnoe","Southern"
"Марьина Роща","Mar'ina Roshha","North-Eastern"
"Нагорный","Nagornoe","Southern"
"Свиблово","Sviblovo","North-Eastern"
"Даниловский","Danilovskoe","Southern"
"Мещанский","Meshhanskoe","Central"
"Южное Медведково","Juzhnoe Medvedkovo","North-Eastern"
"Замоскворечье","Zamoskvorech'e","Central"
"Северное Медведково","Severnoe Medvedkovo","North-Eastern"
"Нагатино-Садовники","Nagatino-Sadovniki","Southern"
"Москворечье-Сабурово","Moskvorech'e-Saburovo","Southern"
"Царицыно","Caricyno","Southern"
"Басманный","Basmannoe","Central"
"Красносельский","Krasnosel'skoe","Central"
"Ростокино","Rostokino","North-Eastern"
"Таганский","Taganskoe","Central"
"Алексеевский","Alekseevskoe","North-Eastern"
"Сокольники","Sokol'niki","Eastern"
"Бирюлёво Восточное","Birjulevo Vostochnoe","Southern"
"Бабушкинский","Babushkinskoe","North-Eastern"
"Южнопортовый","Juzhnoportovoe","South-Eastern"
"Ярославский","Jaroslavskoe","North-Eastern"
"Печатники","Pechatniki","South-Eastern"
"Богородское","Bogorodskoe","Eastern"
"Метрогородок","Metrogorodok","Eastern"
"Лефортово","Lefortovo","South-Eastern"
"Орехово-Борисово Северное","Orehovo-Borisovo Severnoe","Southern"
"Лосиноостровский","Losinoostrovskoe","North-Eastern"
"Нижегородский","Nizhegorodskoe","South-Eastern"
"Перово","Perovo","Eastern"
"Орехово-Борисово Южное","Orehovo-Borisovo Juzhnoe","Southern"
"Марьино","Mar'ino","South-Eastern"
"Вешняки","Veshnjaki","Eastern"
"Преображенское","Preobrazhenskoe","Eastern"
"Соколиная Гора","Sokolinaja Gora","Eastern"
"Люблино","Ljublino","South-Eastern"
"Текстильщики","Tekstil'shhiki","South-Eastern"
"Братеево","Brateevo","Southern"
"Зябликово","Zjablikovo","Southern"
"Рязанский","Rjazanskij","South-Eastern"
"Измайлово","Izmajlovo","Eastern"
"Новогиреево","Novogireevo","Eastern"
"Кузьминки","Kuz'minki","South-Eastern"
"Гольяново","Gol'janovo","Eastern"
"Северное Измайлово","Severnoe Izmajlovo","Eastern"
"Капотня","Kapotnja","South-Eastern"
"Выхино-Жулебино","Vyhino-Zhulebino","South-Eastern"
"Восточный","Vostochnoe","Eastern"
"Восточное Измайлово","Vostochnoe Izmajlovo","Eastern"
"Ивановское","Ivanovskoe","Eastern"
"Косино-Ухтомский","Kosino-Uhtomskoe","Eastern"
"Новокосино","Novokosino","Eastern"
"Некрасовка","Nekrasovka","South-Eastern"
"Кунцево","Kuncevo","Western"
