available,artist,price,label,tracks,link,release,front_cover,catalog_num
Add To Basket,"Pascal Benjamin,First Law Of Motion EP",£8.75 (£10.50 inc vat),Norse Projekt,Raster / Trim / Raster (Einzig Remix) ,https://www.redeyerecords.co.uk/vinyl/82794-nr005-pascal-benjamin-first-law-of-motion-ep,"Pascal Benjamin,First Law Of Motion EP",https://www.redeyerecords.co.uk/imagery/117101-2.jpg,NR005
Add To Basket,"Pedro Goya & Magazino,Canal EP",£7.91 (£9.49 inc vat),Overall Music Limited Series,Canal / Dublock / Lock Dub / Dublock (Hanfry...,https://www.redeyerecords.co.uk/vinyl/83977-ovllmltd006-pedro-goya-and-magazino-canal-ep,"Pedro Goya & Magazino,Canal EP",https://www.redeyerecords.co.uk/imagery/117995-2.jpg,OVLLMLTD006
Add To Basket,"Rabo & Snob,Yawumna EP",£7.49 (£8.99 inc vat),Lovedancing,Yawumna Ft Soma Iddrissu / Yuwumna Art Of To...,https://www.redeyerecords.co.uk/vinyl/85236-ld03-rabo-and-snob-yawumna-ep,"Rabo & Snob,Yawumna EP",https://www.redeyerecords.co.uk/imagery/118974-2.jpg,LD03
Add To Basket,"Reedale Rise,Eternal Return",£7.49 (£8.99 inc vat),Frustrated Funk,1 Eternal Return / 2 Unfamiliar Species / 3 ...,https://www.redeyerecords.co.uk/vinyl/83296-fr039-reedale-rise-eternal-return,"Reedale Rise,Eternal Return",https://www.redeyerecords.co.uk/imagery/117463-2.jpg,FR039
Add To Basket,"Ruby Rushton,Trudi's Songbook: Volume ...",£12.31 (£14.77 inc vat),22a,Moonlight Woman / Elephant & Castle / Trudi'...,https://www.redeyerecords.co.uk/vinyl/85279-22a015lp-ruby-rushton-trudi's-songbook--volume-one-lp,"Ruby Rushton,Trudi's Songbook: Volume ...",https://www.redeyerecords.co.uk/imagery/119000-2.jpg,22A015LP
Add To Basket,"Salsoul Boogie Essentials Vol. 1,Va",£6.66 (£7.99 inc vat),Salsoul Records,"Cream De Coco - Disco Strut (7"" Single Versi...",https://www.redeyerecords.co.uk/vinyl/67157-sal2015003-salsoul-boogie-essentials-vol--1-va,"Salsoul Boogie Essentials Vol. 1,Va",https://www.redeyerecords.co.uk/imagery/105562-2.jpg,SAL2015003
Add To Basket,"Salsoul Boogie Essentials Vol. 2,Va",£6.66 (£7.99 inc vat),Salsoul,Instant Funk - (Just Because) You'll Be Mine...,https://www.redeyerecords.co.uk/vinyl/69234-sal-2015-004-salsoul-boogie-essentials-vol--2-va,"Salsoul Boogie Essentials Vol. 2,Va",https://www.redeyerecords.co.uk/imagery/107076-2.jpg,SAL-2015-004
Add To Basket,Shina Williams & His African Percussions,£11.63 (£13.96 inc vat),Strut,Agboju Logun (12'' Version) / Agboju Logun (...,https://www.redeyerecords.co.uk/vinyl/85235-strut-154s-shina-williams-and-his-african-percussions,Shina Williams & His African Percussions,https://www.redeyerecords.co.uk/imagery/118973-2.jpg,STRUT 154S
Add To Basket,Studio Mody,£7.49 (£8.99 inc vat),Counter 99,Tracking Down The House / 1017 Feat L. Efa (...,https://www.redeyerecords.co.uk/vinyl/85233-count01-studio-mody-,Studio Mody,https://www.redeyerecords.co.uk/imagery/118971-2.jpg,COUNT01
Add To Basket,"Tapesh & Lunoize,Damnit/brak/loose Con...",£7.49 (£8.99 inc vat),Material Series,Damnit / Brak / Loose Control ,https://www.redeyerecords.co.uk/vinyl/83982-material121-tapesh-and-lunoize-damnit-brak-loose-control,"Tapesh & Lunoize,Damnit/brak/loose Con...",https://www.redeyerecords.co.uk/imagery/118000-2.jpg,MATERIAL121
Add To Basket,"Tom Vr,Valby002",£8.33 (£10.00 inc vat),Valby Rotary,A. Tom Vr - Hear Me Out / B. Tom Vr - Indigo...,https://www.redeyerecords.co.uk/vinyl/85269-valby002-tom-vr-valby002,"Tom Vr,Valby002",https://www.redeyerecords.co.uk/imagery/118995-2.jpg,VALBY002
Add To Basket,Toto,£8.33 (£10.00 inc vat),Columbia,Georgy Porgy / Childs Anthem ,https://www.redeyerecords.co.uk/vinyl/85230-4311040-toto,Toto,https://www.redeyerecords.co.uk/imagery/118969-2.jpg,4311040
Add To Basket,"Tvmb,Momentz000",£7.49 (£8.99 inc vat),Momentz,Tvmb01 / Tvmb02 / Tvmb03 / Tvmb04 ,https://www.redeyerecords.co.uk/vinyl/83811-mm000-tvmb-momentz000,"Tvmb,Momentz000",https://www.redeyerecords.co.uk/imagery/117876-2.jpg,MM000
Add To Basket,"Un*deux,Tools For Fools",£7.91 (£9.49 inc vat),Ondule Records,Tools For Fools / Two For The Bass / Groovy ...,https://www.redeyerecords.co.uk/vinyl/82943-ond011-un*deux-tools-for-fools,"Un*deux,Tools For Fools",https://www.redeyerecords.co.uk/imagery/117224-2.jpg,OND011
Add To Basket,Underdog Edits Vol 15,£7.49 (£8.99 inc vat),Underdog Edits,Never Gonna Let You Go / It Aint Easy ,https://www.redeyerecords.co.uk/vinyl/85260-udet015-underdog-edits-vol-15,Underdog Edits Vol 15,https://www.redeyerecords.co.uk/imagery/118994-2.jpg,UDET015
Add To Basket,"Unknown,03",£7.91 (£9.49 inc vat),Unknown,A1: Caru'uencula / B1: Noussa / B2: Eritia ,https://www.redeyerecords.co.uk/vinyl/84243-unk03-unknown-03,"Unknown,03",https://www.redeyerecords.co.uk/imagery/118222-2.jpg,UNK03
Out Of Stock,"Unknown,Social 7",£9.16 (£10.99 inc vat),Social,Unknown / Unknown / Unknown ,https://www.redeyerecords.co.uk/vinyl/83545-scl007-unknown-social-7,"Unknown,Social 7",https://www.redeyerecords.co.uk/imagery/117666-2.jpg,SCL007
Add To Basket,"Various ( Matthias Tanzmann, Dan Drastic...",£7.91 (£9.49 inc vat),Moon Harbour,Matthias Tanzmann - Mahoney Baloney / Dan Dr...,https://www.redeyerecords.co.uk/vinyl/83981-mhr100-various--matthias-tanzmann--dan-drastic--sven-tasnadi--luna-city-express--daniel-stefanik-moon-harbour-100,"Various ( Matthias Tanzmann, Dan Drastic...",https://www.redeyerecords.co.uk/imagery/117999-2.jpg,MHR100
Add To Basket,"Various Connection Vol.1,Va",£7.49 (£8.99 inc vat),Main Main Music,Martelli Feat Ava Loon - Trippin Birds / Gor...,https://www.redeyerecords.co.uk/vinyl/85249-mmmv001-various-connection-vol-1-va,"Various Connection Vol.1,Va",https://www.redeyerecords.co.uk/imagery/118983-2.jpg,MMMV001
Add To Basket,"Visitor,Dublin",£7.91 (£9.49 inc vat),Pariter,A1: Stop The Music / B1: After The Weekend /...,https://www.redeyerecords.co.uk/vinyl/83739-prtr016-visitor-dublin,"Visitor,Dublin",https://www.redeyerecords.co.uk/imagery/117818-2.jpg,PRTR016
Add To Basket,Ali King EP,£8.75 (£10.50 inc vat),Vanity Press Records,Yes / Return / Session 28 / Nebula ,https://www.redeyerecords.co.uk/vinyl/85165-vpr-05-ali-king-ep,Ali King EP,https://www.redeyerecords.co.uk/imagery/118909-2.jpg,VPR-05
Add To Basket,"Anno Stamm,Annothek EP",£7.91 (£9.49 inc vat),Macro,Stammophin / Stammotan / Stammophorm ,https://www.redeyerecords.co.uk/vinyl/85197-macrom54-anno-stamm-annothek-ep,"Anno Stamm,Annothek EP",https://www.redeyerecords.co.uk/imagery/118940-2.jpg,MACROM54
Add To Basket,"Archie Hamilton,Driven EP",£7.08 (£8.50 inc vat),Fuse London,Driven To Distraction / Telegram / Channelle...,https://www.redeyerecords.co.uk/vinyl/81979-fuse026-archie-hamilton-driven-ep,"Archie Hamilton,Driven EP",https://www.redeyerecords.co.uk/imagery/116465-2.jpg,FUSE026
Add To Basket,"Aroop Roy,Talkin Bout Life",£7.49 (£8.99 inc vat),House Of Disco,Talkin Bout Life / We Together / Talkin Bout...,https://www.redeyerecords.co.uk/vinyl/83509-hod017-aroop-roy-talkin-bout-life,"Aroop Roy,Talkin Bout Life",https://www.redeyerecords.co.uk/imagery/117632-2.jpg,HOD017
Add To Basket,"Bandshell,Part-Time Gunslinger",£8.75 (£10.50 inc vat),Ftd,Credit Fangs / Gruberfund / Polarising Hairc...,https://www.redeyerecords.co.uk/vinyl/85209-ftd008-bandshell-part-time-gunslinger-,"Bandshell,Part-Time Gunslinger",https://www.redeyerecords.co.uk/imagery/118952-2.jpg,FTD008
Add To Basket,"Best Of Kittball #2 / 2016,Va",£7.49 (£8.99 inc vat),Kittball,Veerus & Maxie Devine - Freak Out / Yves Mur...,https://www.redeyerecords.co.uk/vinyl/85180-kitt106-best-of-kittball-2-2016-va,"Best Of Kittball #2 / 2016,Va",https://www.redeyerecords.co.uk/imagery/118924-2.jpg,KITT106
Add To Basket,"Best Of Kittball #3 / 2016,Va",£7.49 (£8.99 inc vat),Kittball,"P.a.c.o., Return Of The Jaded - Rumble / Pur...",https://www.redeyerecords.co.uk/vinyl/85179-kitt107-best-of-kittball-3-2016-va,"Best Of Kittball #3 / 2016,Va",https://www.redeyerecords.co.uk/imagery/118923-2.jpg,KITT107
Add To Basket,Blind Box / Julian Alexander,£6.66 (£7.99 inc vat),Blind Box Series,"Blind Box - ""would"" / Blind Box - ""hedone"" /...",https://www.redeyerecords.co.uk/vinyl/85211-bbox-006-blind-box-julian-alexander,Blind Box / Julian Alexander,https://www.redeyerecords.co.uk/imagery/118953-2.jpg,BBOX 006
Add To Basket,"Bookworms & Steve Summers,Bnk-007-2",£7.08 (£8.50 inc vat),Bank Records,"St-018 / St-101,  ",https://www.redeyerecords.co.uk/vinyl/84439-bnk-007-2-bookworms-and-steve-summers-bnk-007-2,"Bookworms & Steve Summers,Bnk-007-2",https://www.redeyerecords.co.uk/imagery/118355-2.jpg,BNK 007-2
Add To Basket,"Cocoon Compilation Q,Va (6 X 12"" Box +...",£53.92 (£64.70 inc vat),Cocoon,(A) Kamran Sadeghi – Anno Domini / (B) Alex ...,https://www.redeyerecords.co.uk/vinyl/85194-corlp040-cocoon-compilation-q-va-6-x-12-box--cd,"Cocoon Compilation Q,Va (6 X 12"" Box +...",https://www.redeyerecords.co.uk/imagery/118937-2.jpg,CORLP040
Add To Basket,"Coeo,Disco Volante EP",£7.91 (£9.49 inc vat),Razor-N-Tape Reserve,Like It Is / Nigerian Affair / Long Night Ah...,https://www.redeyerecords.co.uk/vinyl/79773-rntr015-coeo-disco-volante-ep,"Coeo,Disco Volante EP",https://www.redeyerecords.co.uk/imagery/114791-2.jpg,RNTR015
Add To Basket,"Denis Mpunga & Paul K,Criola E.p",£11.74 (£14.09 inc vat),Music From Memory,Intermezzo 03 / Criola / Intermezzo 02 / ---...,https://www.redeyerecords.co.uk/vinyl/82650-mfm-019-denis-mpunga-and-paul-k-criola-e-p,"Denis Mpunga & Paul K,Criola E.p",https://www.redeyerecords.co.uk/imagery/116985-2.jpg,MFM 019
Add To Basket,"De-Noize Records Volume 1,Va",£8.33 (£10.00 inc vat),De-Noize Records,Audio Kode – Jungle Love (Joey Beltram Remix...,https://www.redeyerecords.co.uk/vinyl/85208-den001-de-noize-records-volume-1-va,"De-Noize Records Volume 1,Va",https://www.redeyerecords.co.uk/imagery/118951-2.jpg,DEN001
Add To Basket,"Diego Amur,Automa EP",£7.91 (£9.49 inc vat),Mindtrip,Automa / Automa (Jonas Kopp Remix) / Escape ...,https://www.redeyerecords.co.uk/vinyl/85199-mt15-diego-amur-automa-ep,"Diego Amur,Automa EP",https://www.redeyerecords.co.uk/imagery/118942-2.jpg,MT15
Add To Basket,"Dino Lenny,Shoot Me To The Sky (Incl M...",£9.16 (£10.99 inc vat),Sapiens,Shoot Me To The Sky (Maceo Plex Remix) / Thi...,https://www.redeyerecords.co.uk/vinyl/85202-sapiens003-dino-lenny-shoot-me-to-the-sky-incl-maceo-plex-remix,"Dino Lenny,Shoot Me To The Sky (Incl M...",https://www.redeyerecords.co.uk/imagery/118945-2.jpg,SAPIENS003
Add To Basket,"Freekazoidz,I Saw You Dancing EP",£7.91 (£9.49 inc vat),Secret Angels,I Saw You Dancing (Feat Tilson) / Anambra / ...,https://www.redeyerecords.co.uk/vinyl/85219-sa-004-freekazoidz-i-saw-you-dancing-ep,"Freekazoidz,I Saw You Dancing EP",https://www.redeyerecords.co.uk/imagery/118961-2.jpg,SA 004
Add To Basket,"Fumiya Tanaka,Beautiful Days EP  2",£7.91 (£9.49 inc vat),Sundance,A. Kids Edit / B. Hang On A Second ,https://www.redeyerecords.co.uk/vinyl/85204-snd007-fumiya-tanaka-beautiful-days-ep-2,"Fumiya Tanaka,Beautiful Days EP  2",https://www.redeyerecords.co.uk/imagery/118947-2.jpg,SND007
Add To Basket,"Gabriele Mancino,Aether EP",£7.91 (£9.49 inc vat),Roundqubemusik,Aether / Hoppetized / Hoppetized (Andrea Fer...,https://www.redeyerecords.co.uk/vinyl/85189-rqm013-gabriele-mancino-aether-ep,"Gabriele Mancino,Aether EP",https://www.redeyerecords.co.uk/imagery/118933-2.jpg,RQM013
Add To Basket,"Hemo,Elliot.project.003",£7.91 (£9.49 inc vat),Elliot.project,Hemo - Clouds / Hemo - Clouds (S.crosbie Rem...,https://www.redeyerecords.co.uk/vinyl/85191-elliot-project-003-hemo-elliot-project-003,"Hemo,Elliot.project.003",https://www.redeyerecords.co.uk/imagery/118935-2.jpg,elliot.project.003
Add To Basket,"Hermanez,Basic Properties",£7.49 (£8.99 inc vat),Bad Barbie Records,Basic Properties / Default / Nihilo ,https://www.redeyerecords.co.uk/vinyl/85188-bbr031-hermanez-basic-properties,"Hermanez,Basic Properties",https://www.redeyerecords.co.uk/imagery/118932-2.jpg,BBR031
Add To Basket,Ivan Conti,£10.00 (£12.00 inc vat),Far Out Recordings,Mamao’s Break (Ig Culture Remix) / Mamao’s B...,https://www.redeyerecords.co.uk/vinyl/80837-jd36-ivan-conti,Ivan Conti,https://www.redeyerecords.co.uk/imagery/62257-2.jpg,JD36
Add To Basket,"Johannes Klingebiel,Nightlife EP",£9.16 (£10.99 inc vat),Mireia,"V / Forever Yours / Intro / Nightlife, Scars...",https://www.redeyerecords.co.uk/vinyl/85198-mir006-johannes-klingebiel-nightlife-ep,"Johannes Klingebiel,Nightlife EP",https://www.redeyerecords.co.uk/imagery/118941-2.jpg,MIR006
Add To Basket,"Jtt & The Boogie Cafe,Vol 1",£7.08 (£8.50 inc vat),Street Edits,Know 2 Much / Dynamite ,https://www.redeyerecords.co.uk/vinyl/85220-se-010-jtt-and-the-boogie-cafe-vol-1,"Jtt & The Boogie Cafe,Vol 1",https://www.redeyerecords.co.uk/imagery/118962-2.jpg,SE 010
Add To Basket,"Kodäma,Palo Santo EP",£7.08 (£8.50 inc vat),Mamie's Records,Palo Santo / North Wind / Dream Hunter / Nor...,https://www.redeyerecords.co.uk/vinyl/78914-mamie-001-kodäma-palo-santo-ep,"Kodäma,Palo Santo EP",https://www.redeyerecords.co.uk/imagery/114187-2.jpg,MAMIE-001
Add To Basket,"Loco & Jam,Argentina EP",£7.08 (£8.50 inc vat),Terminal M Records,A1: Argentina / A2: The Crazies / B1: Endles...,https://www.redeyerecords.co.uk/vinyl/85184-term140-loco-and-jam-argentina-ep,"Loco & Jam,Argentina EP",https://www.redeyerecords.co.uk/imagery/118928-2.jpg,TERM140
Add To Basket,"Luc Marianni, L'humour EP",£6.66 (£7.99 inc vat),Ddd,Luc Marianni - Six Synthetic Suites (Anno St...,https://www.redeyerecords.co.uk/vinyl/85225-ddd-lmr-t03-luc-marianni--l'humour-ep,"Luc Marianni, L'humour EP",https://www.redeyerecords.co.uk/imagery/118967-2.jpg,DDD-LMR-T03
Add To Basket,"Lutto Lento,Dark Secret World",£10.86 (£13.03 inc vat),Where To Now?,Strangest Dream About U / Crack / Rattlesnak...,https://www.redeyerecords.co.uk/vinyl/85170-wtnlp07-lutto-lento-dark-secret-world,"Lutto Lento,Dark Secret World",https://www.redeyerecords.co.uk/imagery/118914-2.jpg,WTNLP07
Add To Basket,"Mall Grab,I Just Wanna",£8.33 (£10.00 inc vat),Hot Haus Recs,Mall Grab - I Just Wanna / Mall Grab - Kalum...,https://www.redeyerecords.co.uk/vinyl/76981-hotshit027-mall-grab-i-just-wanna,"Mall Grab,I Just Wanna",https://www.redeyerecords.co.uk/imagery/112749-2.jpg,HOTSHIT027
Add To Basket,Marvin Dash & Lowtec EP,£7.08 (£8.50 inc vat),Out To Lunch, Md /  Low ,https://www.redeyerecords.co.uk/vinyl/85167-49498-marvin-dash-and-lowtec-ep,Marvin Dash & Lowtec EP,https://www.redeyerecords.co.uk/imagery/118911-2.jpg,49498
Add To Basket,"Medusa Edits,Northside Revival",£7.91 (£9.49 inc vat),Medusa Edits,Nitzer Ebb - An Industrial Beating / Spk- Mo...,https://www.redeyerecords.co.uk/vinyl/85138-me002-medusa-edits-northside-revival,"Medusa Edits,Northside Revival",https://www.redeyerecords.co.uk/imagery/118886-2.jpg,ME002
Add To Basket,"Medusa Edits,Reflection Series #2",£7.91 (£9.49 inc vat),Medusa Edits,Siouxsie & The Banshees - Happy House / The ...,https://www.redeyerecords.co.uk/vinyl/85139-me003-medusa-edits-reflection-series-2,"Medusa Edits,Reflection Series #2",https://www.redeyerecords.co.uk/imagery/118887-2.jpg,ME003
Add To Basket,"Moodymann,Mahogany Brown (2 X LP )",£17.84 (£21.41 inc vat),Peace Frog,Radio / Sunshine / On The Run / M.e.a.n.d.n....,https://www.redeyerecords.co.uk/vinyl/81403-pf074-moodymann-mahogany-brown-2-x-lp,"Moodymann,Mahogany Brown (2 X LP )",https://www.redeyerecords.co.uk/imagery/116002-2.jpg,PF074
Add To Basket,Mr. K Edits,£8.75 (£10.50 inc vat),Most Excellent Unlimited,City (Edit By Mr K) / Sun Sun Sun (Edit By M...,https://www.redeyerecords.co.uk/vinyl/85229-mxmrk2007-mr--k-edits,Mr. K Edits,https://www.redeyerecords.co.uk/imagery/118968-2.jpg,MXMRK2007
Add To Basket,Mr.de,£7.49 (£8.99 inc vat),Technorama,Sex On The Beach 2000 / Whonleeone / Big Boo...,https://www.redeyerecords.co.uk/vinyl/85169-tr13-mr-de-,Mr.de,https://www.redeyerecords.co.uk/imagery/118913-2.jpg,TR13
