,c,g
627,9061,773
628,13767,774
629,12767,775
630,5676,776
631,13174,779
632,14408,780
633,14717,782
634,11981,783
635,11981,784
636,14625,785
637,12937,786
638,13595,787
639,13832,788
640,13832,789
641,9690,791
642,12635,792
643,13185,793
644,14366,794
645,14366,795
646,139,796
647,139,797
648,13248,798
649,3933,799
650,14529,800
651,11152,801
652,12088,803
653,10926,804
654,11224,805
655,383,806
656,13286,808
657,13684,809
658,13023,809
659,8753,810
660,10108,810
661,11277,811
662,7715,811
663,13360,812
664,10315,812
665,8398,813
666,9065,813
667,8345,814
668,8155,814
669,1678,815
670,3424,815
671,12724,816
672,9077,816
673,7000,817
674,6920,817
675,8601,818
676,8486,818
677,3086,819
678,8658,819
679,1834,820
680,10900,820
681,12378,821
682,14623,822
683,12474,823
684,276,824
685,276,825
686,14325,827
687,14325,828
688,13725,829
689,12846,830
690,13969,831
691,178,833
692,178,834
693,178,835
694,301,836
695,338,837
696,6303,838
697,10015,839
698,7123,839
699,3334,840
700,1104,840
701,3396,841
702,4537,841
703,9443,842
704,4943,842
705,3859,843
706,13632,844
707,9831,844
708,8866,845
709,8115,846
710,7951,846
711,7424,847
712,2689,847
713,6510,848
714,6602,848
715,10405,849
716,8071,849
717,8183,850
718,4615,850
719,3905,851
720,7136,852
721,10132,852
722,11816,853
723,9783,853
724,11803,854
725,4698,855
726,3773,855
727,3936,856
728,2879,857
729,10932,857
730,6853,858
731,6545,858
732,2137,859
733,7981,859
734,6507,860
735,8204,860
736,10733,861
737,11159,861
738,9843,862
739,7630,862
740,9187,863
741,2995,863
742,14166,864
743,10691,864
744,10875,865
745,4043,865
746,14043,866
747,1506,866
748,9374,867
749,7503,867
750,13420,868
751,9161,868
752,8410,869
753,7053,869
754,171,870
755,12367,870
756,10961,871
757,4772,871
758,2955,872
759,10866,873
760,11207,873
761,8467,874
762,11561,874
763,12051,875
764,10032,875
765,10441,876
766,12740,877
767,6727,877
768,11612,878
769,828,878
770,14254,879
771,8706,879
772,14567,880
773,12431,880
774,9693,881
775,10914,881
776,12449,882
777,1163,882
778,12770,883
779,11918,883
780,8369,884
781,11914,884
782,6184,885
783,2038,885
784,130,886
785,13627,886
786,10592,887
787,8724,887
788,10033,888
789,12693,888
790,10688,889
791,8480,889
792,10006,890
793,6882,890
794,11161,891
795,8847,891
796,7112,892
797,12252,892
798,11664,893
799,13028,893
800,6645,894
801,9680,895
802,9161,895
803,9979,896
804,13469,896
805,14607,897
806,13732,897
807,9463,898
808,8161,898
809,9990,899
810,9973,899
811,9258,900
812,6852,900
813,12358,901
814,9196,902
815,10755,902
816,7900,903
817,10280,904
818,4906,904
819,7942,905
820,10229,905
821,2190,906
822,9561,906
823,11439,907
824,14613,909
825,5284,909
826,8453,910
827,10309,910
828,12813,911
829,13818,912
830,8929,912
831,4439,913
832,8743,913
833,12728,914
834,7470,914
835,8957,915
836,9980,915
837,8667,916
838,9850,917
839,4489,917
840,974,918
841,12067,918
842,8814,919
843,4482,919
844,2935,920
845,4382,920
846,13530,921
847,13926,921
848,9442,922
849,10441,923
850,11132,923
851,2635,924
852,6750,924
853,9885,925
854,9341,925
855,10313,926
856,4999,927
857,9767,927
858,12302,928
859,11471,928
860,11196,929
861,12783,929
862,8009,930
863,11531,930
864,10650,931
865,13716,931
866,11745,932
867,7933,932
868,11803,933
869,11747,934
870,11830,934
871,5997,935
872,9434,935
873,13310,936
874,10480,936
875,10926,937
876,12183,937
877,11999,938
878,10217,938
879,6125,939
880,3136,939
881,6184,940
882,11018,940
883,9275,941
884,8889,941
885,3931,943
886,8910,944
887,3404,944
888,14357,945
889,14206,945
890,3809,946
891,3164,946
892,13347,947
893,9760,948
894,7906,948
895,9581,949
896,12545,950
897,9099,950
898,11446,951
899,7370,951
900,7744,952
901,11095,953
902,10521,953
903,11135,955
904,11499,956
905,7691,956
906,10837,957
907,4959,957
908,12081,958
909,1559,958
910,9318,959
911,9925,959
912,12699,960
913,12443,960
914,13237,961
915,7761,961
916,11464,962
917,7964,962
918,12507,964
919,7514,964
920,6939,965
921,3979,965
922,3932,967
923,5896,967
924,11657,968
925,4151,968
926,8782,969
927,10302,970
928,10510,970
929,13474,971
930,10040,971
931,8839,972
932,9034,972
933,11556,973
934,11790,974
935,10144,974
936,14414,975
937,11931,975
938,14038,976
939,7997,976
940,14381,977
941,14283,977
942,6413,978
943,11265,978
944,11817,979
945,9483,979
946,10037,980
947,5518,981
948,9321,981
949,10258,982
950,12537,982
951,12201,983
952,9985,983
953,2215,984
954,7609,984
955,3485,985
956,7856,985
957,14520,986
958,13256,986
959,11300,987
960,12503,987
961,11185,988
962,4737,989
963,6042,990
964,11897,992
965,12243,992
966,11247,993
967,9950,993
968,11803,994
969,12503,994
970,10631,995
971,13027,995
972,209,996
973,12944,996
974,8482,997
975,11012,997
976,12888,998
977,8407,998
978,11506,999
979,6771,999
980,7342,1000
981,12040,1001
982,13072,1001
983,10375,1002
984,8017,1002
985,13,1003
986,11545,1003
987,11597,1004
988,2428,1004
989,267,1005
990,9200,1006
991,12265,1006
992,12488,1007
993,8921,1007
994,13292,1008
995,8992,1008
996,12122,1009
997,9242,1010
998,10339,1010
999,11115,1011
1000,7253,1012
1001,6383,1012
1002,11217,1013
1003,13898,1013
1004,6592,1014
1005,7657,1014
1006,13454,1015
1007,12455,1015
1008,12216,1016
1009,7419,1016
1010,10298,1017
1011,8327,1017
1012,10298,1018
1013,12464,1018
1014,76,1019
1015,13664,1019
1016,13303,1020
1017,6815,1020
1018,14239,1021
1019,12076,1023
1020,10563,1023
1021,11405,1024
1022,12277,1024
1023,9301,1025
1024,10818,1026
1025,11998,1027
1026,11998,1028
1027,12603,1028
1028,12755,1029
1029,10978,1029
1030,5855,1030
1031,10270,1030
1032,12290,1031
1033,12004,1031
1034,5169,1032
1035,13908,1033
1036,56,1033
1037,9598,1034
1038,7891,1034
1039,14547,1035
1040,8687,1035
1041,13667,1037
1042,11635,1037
1043,13422,1038
1044,5008,1038
1045,10007,1039
1046,12361,1039
1047,13232,1040
1048,11363,1041
1049,12684,1041
1050,11363,1042
1051,12684,1042
1052,13207,1043
1053,13238,1043
1054,12734,1044
1055,11861,1044
1056,10741,1045
1057,9607,1045
1058,10474,1046
1059,8439,1046
1060,12757,1047
1061,12768,1047
1062,9816,1048
1063,3419,1048
1064,10167,1050
1065,11776,1050
1066,13399,1051
1067,4453,1051
1068,9058,1052
1069,9536,1052
1070,10879,1053
1071,8659,1053
1072,9075,1054
1073,9226,1054
1074,14433,1055
1075,14533,1055
1076,11776,1056
1077,7378,1056
1078,11776,1057
1079,6915,1057
1080,12291,1058
1081,10917,1058
1082,8887,1059
1083,9951,1059
1084,10318,1060
1085,13228,1061
1086,7263,1061
1087,13228,1062
1088,14002,1062
1089,13212,1063
1090,13379,1063
1091,13196,1064
1092,13348,1064
1093,322,1065
1094,10104,1065
1095,9024,1066
1096,10633,1066
1097,12319,1067
1098,94,1067
1099,12723,1068
1100,5179,1069
1101,1889,1069
1102,14255,1070
1103,14212,1070
1104,12965,1071
1105,12172,1071
1106,12103,1072
1107,10130,1072
1108,12519,1073
1109,10668,1073
1110,14142,1074
1111,12975,1074
1112,12802,1075
1113,11148,1075
1114,5830,1076
1115,4540,1076
1116,14189,1077
1117,314,1077
1118,13387,1078
1119,12470,1078
1120,176,1079
1121,13208,1079
1122,13995,1081
1123,10518,1081
1124,24,1083
1125,5420,1083
1126,13989,1084
