"","btc_usd","usd_vol","btc_eur","eur_vol","btc_cad","cad_vol","btc_aud","aud_vol","btc_gbp","gbp_vol","btc_jpy","jpy_vol","btc_cny","cny_vol","btc_brl","brl_vol","btc_rub","rub_vol","btc_sll","sll_vol","USDEUR","USDGBP","USDCAD","USDJPY","USDAUD","USDCNY","USDRUB","USDSLL","oil","gold","VTWSX","EEM","EFA","XCI","btc_usd_trades","btc_usd_in_day_fluc","btc_max_rr_1","btc_rr_1","btc_rr_2","btc_rr_3","btc_rr_4","btc_rr_5","btc_rr_10","btc_rr_15","btc_rr_30","est_trans_vol","num_trans","median.conf.time","trade_vol","btc_USDEUR","btc_USDGBP","btc_USDCAD","btc_USDAUD","btc_USDJPY","btc_USDCNY","btc_USDRUB","btc_USDBRL","btc_USDSLL"
"2011-09-08",6.59119,58.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1748.69,1192,0.71921,0.62588,0.98817,77.508003,0.94274,6.38,29.5982,NA,NA,NA,15.513902,36.945232,42.831692,910.650024,42,0.13452188006483,0.009353394455326,-0.0500349506727103,-0.0607000297842565,-0.172592005844789,-0.206785751678506,-0.235621493365372,-0.245937779933668,-0.385545684214452,NA,62044,-500.5231003908,NA,-145614.620732345,NA,NA,NA,NA,NA,NA,NA,NA,265.307175183844
"2011-09-09",5.5561,106.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6773,27.42,NA,NA,1439.72,1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.060941,35.696178,41.34742,892.27002,97,0.485587583148559,0.0195838807796836,-0.157041444716356,-0.199218834449113,-0.208209054128967,-0.302529352616786,-0.331353263204512,-0.36429061784897,-0.455059926636458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92172567088425,259.124205827829
"2011-09-10",5.12572,154.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.05,NA,NA,1617.24,1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0.170212765957447,-0.0109448038519466,-0.0774608088407335,-0.222337696227843,-0.26124799123711,-0.269541821228907,-0.35655599310576,-0.406770088283358,-0.427453783859257,NA,74357,-146.432992511027,NA,-40225.2533296593,NA,NA,NA,NA,NA,NA,NA,2.53622905660083,315.514698422856
"2011-09-11",5.30823,1358.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1591.72,894,0.73525,0.63064,0.9978,77.462997,0.95767,6.3776,30.064199,NA,NA,NA,NA,NA,NA,NA,157,0.473451327433628,0.289037965574212,0.0356067050092474,-0.0446122280016558,-0.194647703980617,-0.2349434663861,-0.243532612335812,-0.348319614017642,-0.387217316017316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.858898352181
"2011-09-12",5.91249,318.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3512,2.13009,NA,NA,1778.55,555,0.73205,0.63057,0.9926,77.18,0.96603,6.402,30.219601,NA,NA,NA,14.991254,35.624802,41.169315,903.119995,86,0.0981818181818182,0.123766805525252,0.113834555021165,0.15349453345091,0.0641439138964382,-0.102970783727976,-0.147853596316127,-0.28656101919682,-0.314692552883222,NA,80030,-705.209257443817,NA,129878.245917334,NA,NA,NA,NA,NA,NA,NA,1.91986794058003,300.812348096995
"2011-09-13",5.39008,2330.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.146,4.37517,NA,NA,1712.86,1095,0.73067,0.63347,0.9856,76.931999,0.96906,6.3985,30.1966,NA,NA,NA,15.121916,35.678329,41.610348,913.48999,154,0.153846153846154,0.016235380550938,-0.0883570204769902,0.0154194524351809,0.0515751933386919,-0.0298806716941739,-0.182229612558582,-0.374913892477508,-0.38335024614142,-0.488607210626186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06787283305628,317.780070054619
"2011-09-14",5.19086,1530.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,1.00685,NA,NA,1563.01,752,0.72748,0.63412,0.98988,76.677002,0.97305,6.396,30.391199,NA,NA,NA,15.269997,35.580196,42.23798,927.5,96,0.277777777777778,0.0693372581807253,-0.0369604903823321,-0.122051792053771,-0.0221109484705825,0.0127084585189982,-0.0657367577977358,-0.375307931793484,-0.406080091533181,-0.52724408014572,78213,-97.4173247583649,NA,-65831.0446891728,NA,NA,NA,NA,NA,NA,NA,2.15763861864893,301.10810154772
"2011-09-15",4.67356,2387.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.404,4.35022,NA,NA,1446.06,1107,0.72103,0.63319,0.9848,76.734001,0.96843,6.388,30.338301,NA,NA,NA,15.557454,36.097664,43.153988,943.789978,141,0.230149854618654,0.0661465777694092,-0.0996559336988475,-0.132933091902161,-0.209544540455882,-0.119563394954627,-0.0882139484794331,-0.413316729579328,-0.459101241151989,-0.578358384006063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22614024426775,309.412952866765
"2011-09-16",4.6408,647.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,2.9,NA,NA,1322.96,816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.601007,36.16011,43.170956,952.580017,99,0.229895931882687,0.113437338389933,-0.00700964575184668,-0.105967026658396,-0.139010923771076,-0.2150853532099,-0.125734943662954,-0.338646996706631,-0.430258610635385,-0.563801789608241,88805,-223.892254878343,NA,-121100.248729536,NA,NA,NA,NA,NA,NA,NA,2.32718496810895,285.07153938976
"2011-09-17",4.51668,2792.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0449,1.08146,NA,NA,1374.9,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0.0983455882352941,0.0308190972129973,-0.0267453887260816,-0.033567558777463,-0.129878286064352,-0.162038411303728,-0.236078200555096,-0.349026785907312,-0.454988409990697,-0.574744612139986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22395653444565,304.405005446478
"2011-09-18",4.63155,2541.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.456,4.5728,NA,NA,1478.01,598,0.72985,0.63597,0.9817,76.910004,0.96965,6.382,30.578501,NA,NA,NA,NA,NA,NA,NA,128,0.236363636363636,0.199354427783356,0.0254323972475358,-0.00199319082916733,-0.00898886501938572,-0.107749004981833,-0.140727039301829,-0.297312018011922,-0.462880409697852,-0.576640767824497,56328,-419.04337607053,NA,9574.87138304158,NA,NA,NA,NA,NA,NA,NA,2.68938044499142,319.117789940733
"2011-09-19",4.87301,3058.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.35,803,0.73499,0.63857,0.9936,76.596001,0.98512,6.3805,31.2752,NA,NA,NA,15.313553,35.089493,41.983536,954.25,177,0.311111111111111,0.26030112805022,0.0521337349267524,0.078892018030943,0.0500366316152388,0.0426762468011537,-0.0612326281194253,-0.122944151473156,-0.413559468895128,-0.558580176458866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.270881857415
"2011-09-20",5.89456,3417.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1127,1.86105,NA,NA,1570.92,1374,0.73025,0.63556,0.99332,76.462997,0.97542,6.384,31.3902,NA,NA,NA,15.313553,34.830765,42.153172,950.960022,191,0.224105461393597,0.276015512608235,0.209634291741655,0.272697045265624,0.305064782096584,0.270160317186692,0.26125694331516,0.149996488298229,-0.260041651655082,-0.479757113605874,81908,1187.15261652297,NA,482331.535767664,NA,NA,NA,NA,NA,NA,NA,1.88524673597351,266.503352243424
"2011-09-21",5.3604,3801.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.21,NA,NA,1509.83,755,0.73605,0.64482,1.00574,76.538002,0.99384,6.3811,31.645201,NA,NA,NA,14.886723,33.537098,40.897907,942.219971,171,0.1856,0.00623834042235648,-0.0906191471458429,0.10001826386566,0.157366324448619,0.186800924572916,0.155059472504741,0.0098281348019962,-0.236097948876535,-0.514733440156433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23863890754421,281.66368181479
"2011-09-22",5.14871,3516.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.015,NA,NA,1433.22,580,0.74179,0.65097,1.028,76.306,1.024,6.3805,32.049099,NA,NA,NA,14.311811,31.18174,39.574783,912.789978,107,0.138211382113821,0.0465359284170208,-0.0394914558615029,-0.126531920957629,0.0565769411513624,0.111660243331066,0.139932428243754,-0.129180768170432,-0.257934523337681,-0.523915596364208,74744,361.537698987681,NA,-257268.080642613,NA,NA,NA,NA,NA,NA,NA,2.33068088899938,278.364871977641
"2011-09-23",5.23403,2184.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.60025,NA,NA,1469.79,659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.398921,32.011471,40.0243,922.039978,87,0.1,0.0671165430843919,0.0165711411207855,-0.0235747332288636,-0.112057558155316,0.0740856267481495,0.130081722101672,-0.028951332818808,-0.205905155214764,-0.512064995478656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29268842555354,280.814210082862
"2011-09-24",5.16452,2222.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1434.84,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.0699999999999999,0.0224551361985238,-0.0132803977050188,0.0030706720712567,-0.0365420491008133,-0.123849786922179,0.0598213424556897,-0.0050743036799296,-0.0704774932056657,-0.493465936954432,66736,-62.2018967861277,NA,-179204.617863416,NA,NA,NA,NA,NA,NA,NA,NA,277.826400130119
"2011-09-25",5.02405,2719.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.09469,NA,NA,1434.42,376,0.73817,0.64544,1.0273,76.540001,1.0177,6.3801,31.942699,NA,NA,NA,NA,NA,NA,NA,111,0.13882863340564,0.0170141618813506,-0.0271990426990312,-0.040118226299811,-0.0242118899685553,-0.0627471830460414,-0.147680233978448,0.0749942228194352,-0.0198352621680467,-0.438810388159732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38851126083538,285.510693563957
"2011-09-26",4.71118,2712.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3167,25.6967,NA,NA,1438.09,1414,0.73975,0.64298,1.0255,76.335999,1.0182,6.401,32.306099,NA,NA,NA,14.642822,32.493248,40.847015,934.919983,145,0.181818181818182,0.0373473312418545,-0.0622744598481305,-0.0877796968546933,-0.0998943452750558,-0.0849785674469917,-0.121114095962988,0.0151654887088433,-0.112476286822538,-0.456140836940837,65547,-1092.36565302074,NA,56677.6079084822,NA,NA,NA,NA,NA,NA,NA,2.82661668626544,305.250489261714
"2011-09-27",4.65674,7570.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.11066,NA,NA,1393.1,1319,0.73625,0.63939,1.01999,76.807999,1.0096,6.397,31.6752,NA,NA,NA,14.95641,33.528175,41.856312,942.940002,223,0.171428571428571,0.115278070066184,-0.0115554914055501,-0.0731103392681203,-0.0983208507276572,-0.110295508432317,-0.0955520897467521,0.031009502554974,-0.212389365563409,-0.460244566792234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5769100271864,299.157779906115
"2011-09-28",4.59946,4327.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5833,2.26861,NA,NA,1312.07,998,0.73868,0.64201,1.0341,76.540001,1.0259,6.393,31.7152,NA,NA,NA,14.686378,32.520012,41.143864,931.320007,156,0.125560538116592,0.078978836646041,-0.0123004505297698,-0.0237138041849388,-0.084511499686508,-0.109411910497007,-0.121239274516959,-0.00692856603081046,-0.146680568748516,-0.473800782756029,65164,-931.863497165811,NA,-116565.33337543,NA,NA,NA,NA,NA,NA,NA,2.51840433442187,285.266096454801
"2011-09-29",4.51033,2783.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0136,1.04,NA,NA,1298.87,1084,0.73606,0.64105,1.0373,76.764999,1.0241,6.3875,31.9727,NA,NA,NA,14.860594,32.966103,41.949612,927.97998,91,0.0221923335574982,-0.00874880551977351,-0.0193783618076905,-0.0314404497566968,-0.0426326313152968,-0.102252167076363,-0.126670048717015,-0.0744262786245052,-0.131101590102603,-0.483943935926773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66357450563484,287.976711238424
"2011-09-30",4.77123,1434.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296.88,1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.486029,31.315559,40.524708,902.640015,93,0.118421052631579,0.123588676295211,0.0578449913864397,0.0373456884069,0.0245858690843809,0.0127462758799283,-0.0503219514137001,-0.190570627833121,0.0208984157687073,-0.447797314000805,60258,-162.215973066312,NA,-18319.1288470633,NA,NA,NA,NA,NA,NA,NA,NA,271.812509562524
"2011-10-01",4.962,506.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0667,1.29395,NA,NA,1384.74,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0.0620574760516452,0.0662575574365174,0.0399834005067875,0.100141231351143,0.0788222965304623,0.0655522962415766,0.0532393158401929,-0.074322811730468,0.0692122047922772,-0.390825552916045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43182184602983,279.06892382104
