temperature,dewPoint,precipitation,windChill,visibility,humidity,windDir,pressure,windSpeed,time,Date,conditions,events,gustSpeed
48.2,46.4,0.00,"
  -
",1.5,93%,North,29.91,9.2,7:10 PM,"Monday, May 2, 2016",,,"
  -
"
48.2,46.4,0.00,"
  -
",1.5,93%,North,29.92,8.1,7:47 PM,"Monday, May 2, 2016",,,"
  -
"
50.0,46.9,0.00,"
  -
",1.5,89%,North,29.92,9.2,7:54 PM,"Monday, May 2, 2016",,,"
  -
"
48.0,45.0,N/A,"
  -
",1.5,89%,North,29.94,8.1,8:54 PM,"Monday, May 2, 2016",,,"
  -
"
46.9,44.1,N/A,"
  -
",1.5,90%,North,29.96,8.1,9:54 PM,"Monday, May 2, 2016",,,"
  -
"
46.4,42.8,N/A,41.9,10.0,87%,North,29.96,9.2,10:05 PM,"Monday, May 2, 2016",,,"
  -
"
46.4,42.8,N/A,42.4,10.0,87%,North,29.96,8.1,10:34 PM,"Monday, May 2, 2016",,,"
  -
"
46.9,43.0,N/A,"
  -
",10.0,86%,North,29.95,6.9,10:54 PM,"Monday, May 2, 2016",,,"
  -
"
46.9,43.0,N/A,"
  -
",10.0,86%,Calm,29.95,Calm,11:54 PM,"Monday, May 2, 2016",,,"
  -
"
46.4,42.8,N/A,45.2,10.0,87%,NNE,29.94,3.5,12:31 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,43.0,N/A,"
  -
",10.0,86%,NNW,29.94,3.5,12:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,42.8,N/A,43.5,10.0,87%,WNW,29.95,5.8,1:42 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,43.0,N/A,"
  -
",10.0,86%,WNW,29.94,4.6,1:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,42.8,N/A,45.2,10.0,87%,WNW,29.94,3.5,2:28 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,43.0,N/A,43.9,10.0,89%,North,29.92,4.6,2:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,43.0,N/A,43.1,10.0,89%,North,29.92,5.8,3:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
45.0,44.1,0.00,43.5,10.0,97%,SSE,29.94,3.5,4:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,43.0,0.01,"
  -
",10.0,89%,Calm,29.94,Calm,5:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,43.0,0.04,43.1,10.0,89%,East,29.94,5.8,6:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,0.00,44.3,10.0,93%,East,29.94,4.6,7:01 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,43.0,0.01,42.5,10.0,89%,ENE,29.93,6.9,7:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,0.01,44.3,10.0,93%,East,29.93,4.6,8:40 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,43.0,0.01,43.1,10.0,89%,East,29.94,5.8,8:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,0.01,45.2,10.0,93%,NE,29.93,3.5,9:26 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,44.1,0.01,"
  -
",10.0,90%,NE,29.93,3.5,9:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,0.01,42.9,10.0,93%,East,29.92,6.9,10:17 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,45.0,0.01,"
  -
",10.0,93%,East,29.92,4.6,10:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,0.00,44.3,10.0,93%,East,29.92,4.6,11:12 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,0.00,43.5,10.0,93%,ESE,29.92,5.8,11:52 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,44.1,0.00,"
  -
",10.0,90%,East,29.92,5.8,11:54 AM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,0.00,42.9,10.0,93%,East,29.91,6.9,12:11 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,44.1,0.01,43.1,10.0,93%,East,29.89,5.8,12:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
48.2,46.4,0.00,"
  -
",10.0,93%,NNE,29.88,5.8,1:47 PM,"Tuesday, May 3, 2016",,,"
  -
"
48.9,45.0,0.00,"
  -
",10.0,86%,NNE,29.88,4.6,1:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,44.6,N/A,43.5,10.0,93%,East,29.87,5.8,3:14 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,44.1,0.00,"
  -
",10.0,90%,East,29.86,6.9,3:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,44.1,0.00,"
  -
",10.0,90%,East,29.86,5.8,4:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,42.8,N/A,42.4,10.0,87%,East,29.85,8.1,5:45 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,43.0,N/A,"
  -
",10.0,86%,East,29.86,8.1,5:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,42.1,N/A,"
  -
",10.0,83%,East,29.86,5.8,6:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,41.0,0.00,"
  -
",10.0,80%,East,29.86,5.8,7:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.9,41.0,0.00,"
  -
",10.0,80%,ENE,29.88,5.8,8:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,41.0,N/A,43.9,10.0,83%,East,29.90,4.6,9:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.4,41.0,0.00,43.5,10.0,81%,East,29.89,5.8,10:46 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,42.1,0.00,43.1,10.0,86%,ENE,29.89,5.8,10:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
46.0,42.1,0.00,"
  -
",10.0,86%,Calm,29.89,Calm,11:54 PM,"Tuesday, May 3, 2016",,,"
  -
"
45.0,42.1,N/A,42.6,10.0,90%,NE,29.87,4.6,12:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
45.0,42.1,N/A,41.8,10.0,90%,NE,29.86,5.8,1:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
45.0,43.0,N/A,42.6,10.0,93%,NE,29.86,4.6,2:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
46.0,42.1,N/A,42.5,10.0,86%,ENE,29.86,6.9,3:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
45.0,42.1,N/A,41.2,10.0,90%,ENE,29.87,6.9,4:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
46.0,42.1,N/A,41.4,10.0,86%,ENE,29.87,9.2,5:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
46.0,42.1,N/A,41.9,10.0,86%,ENE,29.89,8.1,6:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
46.4,42.8,N/A,41.9,10.0,87%,ENE,29.90,9.2,7:18 AM,"Wednesday, May 4, 2016",,,"
  -
"
46.4,42.8,N/A,41.9,10.0,87%,ENE,29.89,9.2,7:42 AM,"Wednesday, May 4, 2016",,,"
  -
"
46.0,43.0,N/A,41.0,10.0,89%,ENE,29.90,10.4,7:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
46.9,43.0,N/A,"
  -
",10.0,86%,ENE,29.89,11.5,8:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
48.2,44.6,N/A,"
  -
",10.0,87%,ENE,29.88,12.7,9:15 AM,"Wednesday, May 4, 2016",,,"
  -
"
48.9,45.0,N/A,"
  -
",10.0,86%,ENE,29.89,11.5,9:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
48.2,42.8,N/A,"
  -
",10.0,82%,East,29.91,12.7,10:45 AM,"Wednesday, May 4, 2016",,,"
  -
"
48.0,42.1,N/A,"
  -
",10.0,80%,East,29.92,11.5,10:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
48.2,42.8,N/A,"
  -
",10.0,82%,ENE,29.91,11.5,11:06 AM,"Wednesday, May 4, 2016",,,"
  -
"
48.0,43.0,N/A,"
  -
",10.0,83%,ENE,29.90,12.7,11:54 AM,"Wednesday, May 4, 2016",,,"
  -
"
48.0,42.1,N/A,"
  -
",10.0,80%,ENE,29.90,12.7,12:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
48.2,42.8,N/A,"
  -
",10.0,82%,East,29.89,13.8,1:19 PM,"Wednesday, May 4, 2016",,,"
  -
"
48.9,41.0,N/A,"
  -
",10.0,74%,ENE,29.86,15.0,1:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
48.2,41.0,N/A,"
  -
",10.0,76%,NE,29.86,17.3,2:27 PM,"Wednesday, May 4, 2016",,,"
  -
"
46.9,39.9,N/A,"
  -
",10.0,77%,ENE,29.86,13.8,2:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
46.9,41.0,N/A,"
  -
",10.0,80%,ENE,29.83,15.0,3:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
46.4,41.0,N/A,39.8,10.0,81%,NE,29.82,16.1,4:41 PM,"Wednesday, May 4, 2016",,,"
  -
"
46.0,39.9,N/A,38.8,10.0,79%,NE,29.83,18.4,4:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.1,39.9,0.03,35.7,4.0,85%,NE,29.81,20.7,5:54 PM,"Wednesday, May 4, 2016",,,27.6
44.6,41.0,0.08,36.1,3.0,87%,NE,29.82,21.9,6:21 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.6,41.0,0.14,37.8,3.0,87%,NE,29.83,15.0,6:48 PM,"Wednesday, May 4, 2016",,,23.0
44.1,41.0,0.15,36.5,4.0,89%,ENE,29.83,17.3,6:54 PM,"Wednesday, May 4, 2016",,,24.2
44.6,41.0,0.04,37.8,4.0,87%,NE,29.84,15.0,7:08 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.1,41.0,0.12,37.7,5.0,89%,NE,29.82,12.7,7:54 PM,"Wednesday, May 4, 2016",,,20.7
44.6,41.0,0.01,37.4,6.0,87%,NE,29.82,16.1,8:04 PM,"Wednesday, May 4, 2016",,,23.0
44.6,42.8,0.04,36.4,6.0,93%,NE,29.81,20.7,8:34 PM,"Wednesday, May 4, 2016",,,26.5
44.6,42.8,0.05,37.8,5.0,93%,NE,29.82,15.0,8:46 PM,"Wednesday, May 4, 2016",,,21.9
44.1,42.1,0.06,37.1,5.0,93%,NE,29.83,15.0,8:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.6,42.8,0.09,36.9,4.0,93%,NE,29.83,18.4,9:51 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.1,42.1,0.10,36.2,4.0,93%,NE,29.83,18.4,9:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.1,42.1,0.02,37.7,10.0,93%,NNE,29.81,12.7,10:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.1,42.1,0.00,37.1,10.0,93%,NNE,29.80,15.0,11:54 PM,"Wednesday, May 4, 2016",,,"
  -
"
44.1,42.1,0.00,37.4,3.0,93%,NE,29.79,13.8,12:54 AM,"Thursday, May 5, 2016",,,"
  -
"
44.1,42.1,N/A,35.9,8.0,93%,NNE,29.78,19.6,1:54 AM,"Thursday, May 5, 2016",,,24.2
44.1,42.1,N/A,37.1,10.0,93%,NNE,29.75,15.0,3:54 AM,"Thursday, May 5, 2016",,,"
  -
"
44.1,42.1,N/A,37.1,5.0,93%,NNE,29.75,15.0,4:54 AM,"Thursday, May 5, 2016",,,21.9
44.1,42.1,N/A,36.8,8.0,93%,NNE,29.76,16.1,5:54 AM,"Thursday, May 5, 2016",,,"
  -
"
44.1,43.0,N/A,36.8,5.0,96%,NNE,29.75,16.1,6:54 AM,"Thursday, May 5, 2016",,,"
  -
"
44.6,42.8,N/A,37.4,10.0,93%,NE,29.77,16.1,7:50 AM,"Thursday, May 5, 2016",,,"
  -
"
45.0,43.0,N/A,37.4,10.0,93%,NE,29.77,18.4,7:54 AM,"Thursday, May 5, 2016",,,"
  -
"
45.0,43.0,N/A,37.4,8.0,93%,NE,29.78,18.4,8:54 AM,"Thursday, May 5, 2016",,,"
  -
"
46.0,43.0,0.00,38.3,10.0,89%,NE,29.78,20.7,9:54 AM,"Thursday, May 5, 2016",,,26.5
46.0,42.1,N/A,39.0,10.0,86%,NE,29.79,17.3,10:54 AM,"Thursday, May 5, 2016",,,21.9
46.0,42.1,N/A,38.5,10.0,86%,NE,29.78,19.6,11:54 AM,"Thursday, May 5, 2016",,,25.3
46.0,42.1,0.00,38.8,10.0,86%,ENE,29.77,18.4,12:54 PM,"Thursday, May 5, 2016",,,"
  -
"
46.4,42.8,N/A,39.2,9.0,87%,NE,29.77,18.4,1:01 PM,"Thursday, May 5, 2016",,,26.5
46.9,42.1,0.00,"
  -
",10.0,83%,NE,29.76,16.1,1:54 PM,"Thursday, May 5, 2016",,,"
  -
"
44.6,42.8,0.00,37.4,2.5,93%,NE,29.75,16.1,3:50 PM,"Thursday, May 5, 2016",,,27.6
45.0,42.1,0.00,37.6,2.5,90%,NNE,29.75,17.3,3:54 PM,"Thursday, May 5, 2016",,,25.3
44.6,42.8,0.00,37.4,2.5,93%,NE,29.76,16.1,4:02 PM,"Thursday, May 5, 2016",,,"
  -
"
44.6,42.8,0.00,37.4,1.8,93%,NE,29.75,16.1,4:14 PM,"Thursday, May 5, 2016",,,26.5
44.6,42.8,0.00,38.1,2.5,93%,NE,29.75,13.8,4:19 PM,"Thursday, May 5, 2016",,,23.0
44.6,42.8,0.01,38.1,2.5,93%,NNE,29.75,13.8,4:30 PM,"Thursday, May 5, 2016",,,"
  -
"
44.1,42.1,0.02,36.8,2.5,93%,NE,29.75,16.1,4:54 PM,"Thursday, May 5, 2016",,,"
  -
"
45.0,42.1,0.00,38.2,2.5,90%,NE,29.73,15.0,5:54 PM,"Thursday, May 5, 2016",,,"
  -
"
45.0,42.1,0.02,37.9,2.5,90%,NE,29.73,16.1,6:54 PM,"Thursday, May 5, 2016",,,"
  -
"
44.6,42.8,0.02,38.1,6.0,93%,NNE,29.72,13.8,7:51 PM,"Thursday, May 5, 2016",,,"
  -
"
45.0,42.1,0.02,38.2,6.0,90%,NNE,29.72,15.0,7:54 PM,"Thursday, May 5, 2016",,,"
  -
"
45.0,42.1,0.02,37.6,7.0,90%,NNE,29.70,17.3,8:54 PM,"Thursday, May 5, 2016",,,"
  -
"
45.0,42.1,0.02,38.5,7.0,90%,North,29.70,13.8,9:54 PM,"Thursday, May 5, 2016",,,"
  -
"
46.0,43.0,0.03,40.2,8.0,89%,North,29.70,12.7,10:54 PM,"Thursday, May 5, 2016",,,"
  -
"
46.0,43.0,0.02,41.0,10.0,89%,North,29.71,10.4,11:54 PM,"Thursday, May 5, 2016",,,"
  -
"
46.0,43.0,0.00,41.0,7.0,89%,North,29.70,10.4,12:54 AM,"Friday, May 6, 2016",,,"
  -
"
46.0,43.0,0.00,41.4,10.0,89%,North,29.68,9.2,1:54 AM,"Friday, May 6, 2016",,,"
  -
"
46.4,42.8,N/A,40.7,10.0,87%,North,29.67,12.7,2:15 AM,"Friday, May 6, 2016",,,19.6
46.0,43.0,N/A,39.6,10.0,89%,North,29.67,15.0,2:54 AM,"Friday, May 6, 2016",,,"
  -
"
46.9,42.1,N/A,"
  -
",10.0,83%,North,29.69,9.2,3:54 AM,"Friday, May 6, 2016",,,"
  -
"
46.9,43.0,N/A,"
  -
",10.0,86%,NNW,29.71,6.9,4:54 AM,"Friday, May 6, 2016",,,"
  -
"
48.0,42.1,N/A,"
  -
",10.0,80%,North,29.74,5.8,5:54 AM,"Friday, May 6, 2016",,,"
  -
"
48.0,43.0,N/A,"
  -
",10.0,83%,North,29.76,11.5,6:54 AM,"Friday, May 6, 2016",,,"
  -
"
48.9,44.1,N/A,"
  -
",10.0,83%,NNE,29.79,8.1,7:54 AM,"Friday, May 6, 2016",,,"
  -
"
51.1,44.1,N/A,"
  -
",10.0,77%,NE,29.81,9.2,8:54 AM,"Friday, May 6, 2016",,,"
  -
"
53.1,44.1,N/A,"
  -
",10.0,71%,NE,29.82,13.8,9:54 AM,"Friday, May 6, 2016",,,"
  -
"
51.1,45.0,N/A,"
  -
",10.0,80%,East,29.86,12.7,10:54 AM,"Friday, May 6, 2016",,,"
  -
"
51.1,45.0,N/A,"
  -
",10.0,80%,ENE,29.86,15.0,11:54 AM,"Friday, May 6, 2016",,,"
  -
"
51.1,45.0,N/A,"
  -
",10.0,80%,East,29.87,16.1,12:54 PM,"Friday, May 6, 2016",,,"
  -
"
50.0,44.1,N/A,"
  -
",10.0,80%,East,29.89,16.1,1:54 PM,"Friday, May 6, 2016",,,"
  -
"
51.8,44.6,N/A,"
  -
",10.0,76%,East,29.89,17.3,2:08 PM,"Friday, May 6, 2016",,,"
  -
"
50.0,44.1,N/A,"
  -
",10.0,80%,East,29.91,16.1,2:54 PM,"Friday, May 6, 2016",,,"
  -
"
48.9,43.0,N/A,"
  -
",10.0,80%,East,29.88,16.1,3:54 PM,"Friday, May 6, 2016",,,"
  -
"
48.9,43.0,N/A,"
  -
",10.0,80%,East,29.89,13.8,4:54 PM,"Friday, May 6, 2016",,,"
  -
"
48.0,42.1,N/A,"
  -
",10.0,80%,East,29.91,13.8,5:54 PM,"Friday, May 6, 2016",,,"
  -
"
48.0,42.1,N/A,"
  -
",10.0,80%,East,29.91,13.8,6:54 PM,"Friday, May 6, 2016",,,"
  -
"
46.9,42.1,0.00,"
  -
",10.0,83%,East,29.93,11.5,7:54 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,42.8,0.00,41.1,8.0,87%,East,29.93,11.5,8:05 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,42.8,0.02,41.9,4.0,87%,ESE,29.93,9.2,8:16 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,42.8,0.02,42.4,10.0,87%,East,29.93,8.1,8:25 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,42.8,0.02,42.4,10.0,87%,East,29.93,8.1,8:30 PM,"Friday, May 6, 2016",,,"
  -
"
46.9,43.0,0.02,"
  -
",10.0,86%,East,29.94,10.4,8:54 PM,"Friday, May 6, 2016",,,"
  -
"
46.0,43.0,N/A,41.4,10.0,89%,ENE,29.93,9.2,9:54 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,42.8,N/A,42.4,10.0,87%,ENE,29.94,8.1,10:14 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,42.8,0.03,44.3,2.5,87%,East,29.95,4.6,10:42 PM,"Friday, May 6, 2016",,,"
  -
"
46.0,43.0,0.04,43.9,3.0,89%,East,29.94,4.6,10:54 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,44.6,0.02,42.9,3.0,93%,East,29.94,6.9,11:13 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,44.6,0.02,42.9,3.0,93%,ENE,29.94,6.9,11:25 PM,"Friday, May 6, 2016",,,"
  -
"
46.4,44.6,0.02,42.4,3.0,93%,NNE,29.92,8.1,11:39 PM,"Friday, May 6, 2016",,,"
  -
"
46.0,44.1,0.03,41.9,3.0,93%,ENE,29.93,8.1,11:54 PM,"Friday, May 6, 2016",,,"
  -
"
46.0,44.1,0.00,43.1,3.0,93%,NE,29.92,5.8,12:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.0,44.1,N/A,40.6,10.0,93%,ENE,29.91,11.5,1:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,41.1,2.0,93%,ENE,29.90,11.5,2:13 AM,"Saturday, May 7, 2016",,,"
  -
"
46.0,45.0,N/A,41.0,2.0,96%,ENE,29.90,10.4,2:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.0,45.0,N/A,41.4,2.0,96%,NE,29.89,9.2,3:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,41.5,2.0,93%,NE,29.90,10.4,4:07 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,41.1,1.8,93%,NE,29.89,11.5,4:43 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,41.1,2.0,93%,NE,29.90,11.5,4:50 AM,"Saturday, May 7, 2016",,,"
  -
"
46.0,45.0,N/A,41.0,2.0,96%,NE,29.90,10.4,4:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,41.5,1.0,93%,NE,29.90,10.4,5:15 AM,"Saturday, May 7, 2016",,,"
  -
"
46.0,45.0,N/A,40.6,1.0,96%,NE,29.88,11.5,5:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,41.5,1.0,93%,NE,29.88,10.4,6:51 AM,"Saturday, May 7, 2016",,,"
  -
"
46.0,45.0,N/A,40.6,1.0,96%,NE,29.88,11.5,6:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.0,45.0,N/A,41.0,1.0,96%,NE,29.89,10.4,7:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,41.5,3.0,93%,ENE,29.89,10.4,7:58 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,44.6,N/A,40.7,1.5,93%,NE,29.88,12.7,8:17 AM,"Saturday, May 7, 2016",,,"
  -
"
46.9,45.0,N/A,"
  -
",1.5,93%,NE,29.89,9.2,8:54 AM,"Saturday, May 7, 2016",,,"
  -
"
46.4,46.4,N/A,41.5,0.8,100%,NNE,29.88,10.4,9:01 AM,"Saturday, May 7, 2016",,,"
  -
"
46.9,46.0,N/A,"
  -
",0.5,97%,NNE,29.87,10.4,9:54 AM,"Saturday, May 7, 2016",,,"
  -
"
48.2,46.4,N/A,"
  -
",1.5,93%,NE,29.86,11.5,10:24 AM,"Saturday, May 7, 2016",,,"
  -
"
48.0,46.9,N/A,"
  -
",1.5,96%,NE,29.86,9.2,10:54 AM,"Saturday, May 7, 2016",,,"
  -
"
48.2,46.4,N/A,"
  -
",1.5,93%,NE,29.87,6.9,11:11 AM,"Saturday, May 7, 2016",,,"
  -
"
48.0,46.9,N/A,"
  -
",1.5,96%,ENE,29.86,8.1,11:54 AM,"Saturday, May 7, 2016",,,"
  -
"
48.2,46.4,N/A,"
  -
",0.8,93%,ENE,29.85,10.4,12:13 PM,"Saturday, May 7, 2016",,,"
  -
"
48.9,48.0,N/A,"
  -
",0.8,97%,ENE,29.83,10.4,12:54 PM,"Saturday, May 7, 2016",,,"
  -
"
48.9,46.9,N/A,"
  -
",0.8,93%,ENE,29.82,9.2,1:54 PM,"Saturday, May 7, 2016",,,"
  -
"
48.2,46.4,N/A,"
  -
",2.0,93%,ENE,29.82,6.9,2:01 PM,"Saturday, May 7, 2016",,,"
  -
"
48.9,46.9,N/A,"
  -
",2.0,93%,East,29.81,9.2,2:54 PM,"Saturday, May 7, 2016",,,"
  -
"
48.9,46.9,N/A,"
  -
",2.0,93%,East,29.78,6.9,3:54 PM,"Saturday, May 7, 2016",,,"
  -
"
48.2,48.2,N/A,"
  -
",2.0,100%,ENE,29.78,5.8,4:04 PM,"Saturday, May 7, 2016",,,"
  -
"
48.2,48.2,N/A,"
  -
",3.0,100%,Variable,29.78,4.6,4:10 PM,"Saturday, May 7, 2016",,,"
  -
"
51.1,48.0,N/A,"
  -
",3.0,89%,ENE,29.77,5.8,4:54 PM,"Saturday, May 7, 2016",,,"
  -
"
50.0,46.9,N/A,"
  -
",7.0,89%,East,29.76,8.1,5:54 PM,"Saturday, May 7, 2016",,,"
  -
"
48.2,46.4,0.00,"
  -
",3.0,93%,ENE,29.76,8.1,6:30 PM,"Saturday, May 7, 2016",,,"
  -
"
46.9,46.0,0.00,"
  -
",3.0,97%,East,29.75,9.2,6:54 PM,"Saturday, May 7, 2016",,,"
  -
"
46.4,46.4,0.00,43.5,2.0,100%,East,29.76,5.8,7:14 PM,"Saturday, May 7, 2016",,,"
  -
"
46.9,46.0,0.00,"
  -
",2.0,97%,ENE,29.76,3.5,7:54 PM,"Saturday, May 7, 2016",,,"
  -
"
