entry_type,year,part_of_speech,word,month
new word entry,update, ,-biont,2006
new word entry,update, ,bippy,2006
new word entry,update, ,bling,2006
new word entry,update, ,Aesir,2008
new word entry,update, ,Asatru,2008
new word entry,update, ,avo,2008
new word entry,update, ,back East,2008
new word entry,update, ,3G,2009
new word entry,update, ,accommodationist,2009
new word entry,update, ,-adelic,2007
new word entry,update, ,alfoil,2007
new word entry,update, ,bap,2007
new word entry,update, ,blankie,2007
new word entry,update, ,blind copy,2007
new word entry,update, ,breathability,2007
new word entry,update, ,Cabrales,2007
new word entry,update, ,Cahita,2007
