category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
White,US,Thomas George 2014 Cresta Ridge Vineyard Estate Chardonnay (Russian River Valley),Chardonnay,40.0,750 ml,87,Thomas George,"Sharp acidity and intense oak meet in this deeply concentrated, tropically-influenced white. Peach, apple pie, and faint pineapple flavors all figure in.",14.2%
Red,US,Hilt & Blade 2015 Antecedence Zinfandel (Lodi),Zinfandel,20.0,750 ml,91,Hilt & Blade,"Solidly built and fruity without seeming sweet, this full-bodied wine combines concentrated flavors with a firm structure of fine-grained tannins and supportive acidity. Light oak touches add interest, but the wine's power and appeal come from bold varietal-fruit flavors.",14.5%
White,US,South Coast 2016 Verdelho (California),Verdelho,20.0,750 ml,87,South Coast,"From Silva Spoon Vineyards in Lodi, this uncommon California bottling of a common Portuguese white grape offers candied apple, mango, peach and papaya aromas on the lush and tropical nose. The palate, however, is crisp and dry, its honeydew melon and bubblegum flavors proving rather pleasant.",13%
White,US,Seven Falls 2015 GPS Rosebud Vineyard Sauvignon Blanc (Wahluke Slope),Sauvignon Blanc,30.0,750 ml,87,Seven Falls,"This wine is brightly aromatic, with notes of fresh herb, kiwi and pineapple. The palate is full flavored, showing a sense of poise along with a tart finish. The concentration doesn't seem all there.",13.5%
White,US,Franciscan 2014 Cuve Sauvage Chardonnay (Carneros),Chardonnay,40.0,750 ml,91,Franciscan,"Beautifully oaked, this youthful, robustly expressive wine is lemony and salty, offering a high-toned minerality that plays out as stony texture. Pear and marzipan flavors dominate, accented by vanilla and nutmeg.",14.5%
Red,US,Dutton-Goldfield 2014 Emerald Ridge Vineyard Pinot Noir (Green Valley),Pinot Noir,62.0,750 ml,91,Dutton-Goldfield,"Velvety and thick, this wine is tannic, oaky and still tenacious about its youth. Spicy cardamom, violet and dried herb notes make it more earthy than fruit-driven, begging for complementary fare at the table. Raspberry, black cherry and blackberry flavors vie for attention.",13.5%
White,US,Provenance Vineyards 2015 Estate Grown Sauvignon Blanc (Rutherford),Sauvignon Blanc,32.0,750 ml,87,Provenance Vineyards,"This wine is full bodied, lush and oaky, with a generosity on the midpalate that speaks to a ripe vintage. Lemon-lime flavors and high acidity give way to a creaminess of tropical fruit and girth.",14.8%
Red,US,Dunstan 2014 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,55.0,750 ml,91,Dunstan,"From the Ranch House block of the famous vineyard, this fleshy, lushly layered wine made by Kenneth Juhasz, is robust with cardamom and strawberry flavors. It builds intensity as it opens, revealing a velvety texture.",14.1%
White,US,Brooklyn Oenology 2013 Broken Land White (Finger Lakes),White Blend,30.0,750 ml,90,Brooklyn Oenology,"Extended skin contact lends an amber hue and musky exotic tones to this blend of aromatic Gewrztraminer and Pinot Gris grapes. It's fascinatingly complex, suggesting glimmers of spice and bright apple and pear flavors, baked clay and dark herbs. Brisk acidity lends firm structure to the midpalate. It's a delightful wine that would pair well with everything from trout to pork ribs.",12.7%
Red,US,Jack's House 2014 Cabernet Sauvignon (California),Cabernet Sauvignon,15.0,750 ml,85,Jack's House,A hint of maple syrup in the aromas and flavors gives this medium-bodied red a touch of sweetness. Oak flavors dominate the modest fruit on the palate.,13.5%
Red,US,Mirassou 2014 Cabernet Sauvignon (California),Cabernet Sauvignon,12.0,750 ml,85,Mirassou,"This wine veers slightly sweet, like many overripe red blends. It's deep in color, soft in and makes a good counterpoint to spicy foods.",13.6%
White,US,Derby 2015 Derbyshire Vineyard Pinot Gris (San Luis Obispo County),Pinot Gris,20.0,750 ml,91,Derby,"Hailing from an extreme coastal vineyard, this 100% stainless steel aged bottling expertly captures that racy freshness. The nose offers rounder cider and apple juice notes, accented with brown pear and clove, but the palate is even more intriguing: nervy acidity, chalky, limestone-like grip and lean Asian pear flavors.",12.8%
Red,US,The Naked Grape NV Merlot (California),Merlot,18.0,3 L,85,The Naked Grape,"This is bold for a boxed wine, showing ripe, lightly spicy flavors supported by a firm and moderately tannic texture. It's nearly dry, too.",13%
White,US,LXV 2015 Summer Satine Viognier (Paso Robles),Viognier,35.0,750 ml,87,LXV,"Golden honey and banana flambe aromas make for an inviting if quite rich introduction to this wine from Kamasutra-themed LXV. Baked apple and poached peach flavors meet with vanilla dust and salted caramel on the palate, which is rich and creamy with a balance of tension.",14.7%
White,US,Three Brothers 2015 2 Degrees of Riesling Medium Sweet Riesling (Finger Lakes),Riesling,16.0,750 ml,87,Three Brothers,Intense aromas of struck flint and smoke dissipate with a brief aeration to reveal delicate lemon and apple notes. It's an easy approachable style of Riesling with slightly sugary notes of violet candy offset by soft acidity.,12.5%
Red,US,Angeline 2015 Reserve Pinot Noir (Mendocino County),Pinot Noir,18.0,750 ml,86,Angeline,"A substantial dose of fruit and good, grippy texture make this hearty wine ready for any protein dishes. It has full body, tasty black cherry and plum flavors and moderate tannins that lend structure.",13.9%
Red,US,Angeline 2015 Reserve Pinot Noir (Mendocino County),Pinot Noir,18.0,750 ml,86,Angeline,"A substantial dose of fruit and good, grippy texture make this hearty wine ready for any protein dishes. It has full body, tasty black cherry and plum flavors and moderate tannins that lend structure.",13.9%
White,US,Martin Ray 2015 Limited Release Chardonnay (Green Valley),Chardonnay,30.0,750 ml,91,Martin Ray,"A blend of vineyards including the winery's Mill Station site, this white shines in steely acidity and layers of lemon, lime and grapefruit flavor. Tart and tangy with a light-handed approach to ripeness, it doesn't hold back on complexity, offering subtle vanilla tones on the finish.",13.7%
White,US,Cass 2015 Viognier (Paso Robles),Viognier,24.0,750 ml,86,Cass,"Concentrated orange blossom, bubblegum and a touch of minerality show on the nose of this bottling, suggesting sweetness. The palate is dry, if a tad syrupy, revealing warm climate flavors like poached apple, pear and lemon curd, tasting a bit like cough syrup.",14.9%
Red,US,Hawk Watch Winery 2013 Cold Fusion Red (South Coast),Rhne-style Red Blend,32.0,750 ml,87,Hawk Watch Winery,"Slate, raspberry and black plum aromas mark the nose of this blend of 39% Grenache, 38% Syrah, 13% Mourvdre and 10% Petite Sirah. Pronounced gravel-like minerality leads the palate, which frames cranberry fruit with grippy tannins.",14.1%
Red,US,Castle Rock 2014 Merlot (Columbia Valley (WA)),Merlot,12.0,750 ml,86,Castle Rock,"Aromas of green wood, herb and cherry lead to ripe but chalky feeling fruit flavors. There's some interesting things going on but a sense of astringency and bitterness proves distracting.",13.5%
Red,US,DeLorimier 2014 Osborn Ranch Primitivo (Alexander Valley),Primitivo,38.0,750 ml,86,DeLorimier,"Smoke, brawny black pepper and black cherry flavors meet on the palate of this intensely ripe wine. It's grippy and high-octane in power, with a layering of mocha dust.",16%
White,US,Eberle 2015 Estate Vineyard Chardonnay (Paso Robles),Chardonnay,24.0,750 ml,86,Eberle,"This bottling is ripe and tropical but approachable on the nose, with honeydew melon, banana and nectarine aromas. There is a decent punch of acidity and noticeable texture upon first sip, veering toward sweet apple and bubblegum flavors on the finish.",14.5%
Red,US,Keating 2013 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,95.0,750 ml,91,Keating,"This 100% varietal wine sees a hearty dose of new oak and is built for the long term. It leans classic in its elegant layers of dried herb, red currant and pomegranate flavor. Boldly structured, it pleases rather than challenges the palate.",14.3%
White,US,Dancing Bull 2015 Sauvignon Blanc (California),Sauvignon Blanc,12.0,750 ml,87,Dancing Bull,"Herbaceous in aroma, this crisp and dry wine tastes fresh and leantypical for a Sauvignon Blanc. It smells like parsley and thyme, is lemony and medium bodied on the palate, and has a tangy finish.",12.5%
White,US,Firestone 2015 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,14.0,750 ml,86,Firestone,"Squeezed lime, wet concrete and green apple rind scents show on the nose of this basic bottling. Kaffir lime tang meets with ripe red apple and pear notes on the palate, framed by a stony texture.",13.5%
Red,US,Guenoc 2014 Pinot Noir (California),Pinot Noir,12.0,750 ml,86,Guenoc,"This straightforward, affordable dry wine is good and fruity, with medium body, moderate tannins and plenty of red cherry and blackberry flavors.",13.5%
Red,US,Hawk Watch Winery 2013 The Deep Six Red (South Coast),Red Blend,32.0,750 ml,86,Hawk Watch Winery,"The nose of this blend of 58% Syrah, 17% Cabernet Franc, 9% Merlot, 8% Malbec and 8% Petite Sirah is a touch funky, with sour blackberry, charcoal and dried meat aromas. Charred blueberry, sour black plum and savory meat flavors show on the palate.",14.2%
Red,US,Midnight 2012 Mare Nectaris Reserve Red (Paso Robles),Bordeaux-style Red Blend,52.0,750 ml,91,Midnight,"Plum and cherry fruit show on the nose of this blend of 60% Cabernet Sauvignon, 10% Merlot, 10% Malbec, 10% Cabernet Franc and 10% Petit Verdot, but an iodine character adds a counterpoint to the fruit. Deep black fruit shows on the palate, meshing with savory spice and lifted by boisterous acidity.",15.1%
White,US,Chateau Ste. Michelle 2015 Gewrztraminer (Columbia Valley (WA)),Gewrztraminer,9.0,750 ml,87,Chateau Ste. Michelle,"Bright aromas of rose petals and lychee are followed by lightly spritzy, off-dry fruit flavors. It delivers easy-drinking appeal.",12.5%
White,US,Woodstock Collection NV Honey Pie White (California),White Blend,32.0,750 ml,87,Woodstock Collection,"Fashion designer/vintner Richard Hirsh is aiming for the mass market with this approachable if slightly sweet blend. Its wide appeal is the result of sun-filled fruit, showing honey, baked apple, orange blossom and tropical notes on the nose. It's soft on the palate, with candied apple, brown sugar and lemongrass flavors.",14.4%
White,US,MCV 2014 Syrah (Paso Robles),Syrah,45.0,750 ml,91,MCV,"Extremely ripe and approachable on the nose, this lush bottling shows lots of barrel-derived scents, from caramel, vanilla, and pound cake to brown sugar and maple. It's soft and luscious with caramel-laced dessert qualities on the palate, certain to make a strong impression, albeit it with noticeable sweetness.",15.9%
Red,US,Vinum 2014 Wanted: Red Dirt Red (Paso Robles),Rhne-style Red Blend,18.0,750 ml,87,Vinum,"The aromas and flavors in this blend of 55% Syrah, 24% Grenache and 21% Mourvdre perfectly match its Wild West-inspired label: they're unabashedly smoky and pair with anything off the grill. Smoky strawberry, red plum and tanned leather notes lead to an easygoing palate of red fruit that's spiced with white pepper, roasting herbs and barbecued meat.",14.5%
Red,US,The Naked Grape NV Harvest Red (California),Red Blend,18.0,3 L,86,The Naked Grape,"This red blend is nicely dry, with abundant of dark plum and pomegranate flavors and a full-bodied, moderately tannic mouthfeel. It's easy to drink but bold enough to pair with hearty proteins.",13.5%
White,US,Thomas George 2014 Baker Ridge Vineyard Estate Chardonnay (Russian River Valley),Chardonnay,45.0,750 ml,90,Thomas George,"This lightly oaked vineyard-designate wine effortlessly combines tart green apple and preserved lemon flavors, textured with stony minerality. Balanced and food-friendly, it offers power and concentration even as it finishes.",14.2%
White,US,Acacia 2014 Chardonnay (Russian River Valley),Chardonnay,45.0,750 ml,90,Acacia,"Lightly floral, this wine offers a medium-bodied wealth of stone fruit and pear, remaining fresh and lively on the finish despite ample succulence.",14.2%
Red,US,Hawk Watch Winery 2013 Syrah (South Coast),Syrah,32.0,750 ml,86,Hawk Watch Winery,"There's a touch of barnyard on the nose of this bottling, which also shows a soy and sweet black cherry scents. The palate is marked by beef char and cooked black fruit flavors, with a twist of funkiness, lending intrigue.",14.8%
White,US,Thomas George 2014 Starr Ridge Vineyard Estate Chardonnay (Russian River Valley),Chardonnay,39.0,750 ml,87,Thomas George,"Well composed with a steely palate of green apple and lemon complemented by apple blossom aromas, this is a medium-bodied white that's easygoing and not overly complex.",14.3%
Red,US,LXV 2014 Secret Craving Red (Paso Robles),Red Blend,55.0,750 ml,90,LXV,"Plump and inviting black cherry fruit melds with char, soy and purple flower aromas on the nose of this atypical blend of 38% Syrah, 31% Cabernet Franc and 31% Merlot. The wine is cohesive on the palate, with persistent tannins and smoke, coffee, red fruit and dried herb flavors.",14.5%
Red,US,Clearwater Canyon 2014 Phinny Hill Vineyard Carmenre (Washington),Carmenre,28.0,750 ml,86,Clearwater Canyon,Strong aromas and flavors of vanilla and dill overwhelm the variety's cherry and green herb. There are some good things going on but the wood gets in the way.,15.1%
Red,US,San Simeon 2015 Pinot Noir (Monterey),Pinot Noir,20.0,750 ml,87,San Simeon,"This widely available bottling is a shy on the nose in terms of fruit, showing instead crushed gravel and wet rock aromas. The palate brims with chalky texture and loamy soil, sagebrush and bay leaf flavors.",14.9%
White,US,Three Brothers 2015 3 Degrees of Riesling Sweet Riesling (Finger Lakes),Riesling,16.0,750 ml,86,Three Brothers,"Earthier and dustier than the drier versions of Riesling in this series, this sweet-style wine permeates with notes of crushed rocks and bramble. Soft yielding acidity and slightly sugary sweetness linger on the finish.",12.5%
White,US,Rooster Hill 2015 Dry Riesling (Finger Lakes),Riesling,17.0,750 ml,87,Rooster Hill,"While its green-apple and blossom notes are delicate in concentration, this fresh dry Riesling is a refreshing pick. It's more delicate and brisk in body than its alcohol content suggests. The finish is brisk and clean.",13.1%
White,US,Tierra y Mar 2014 Chemin D'Or Cuve Chardonnay (Russian River Valley),Chardonnay,25.0,750 ml,86,Tierra y Mar,"This is a soft, simple white marked by green olive and vanilla bean flavors that feel concentrated and full on the finish.",14.4%
White,US,Argot 2013 Simpatico Ranch Chardonnay (Bennett Valley),Chardonnay,50.0,750 ml,86,Argot,"Dried apple and caramel scents lead the nose of this wine, building toward a bigger presence of tannin and oak and meeting a stony acidity and sour lemon tartness along the way.",14.2%
Red,US,Renwood 2014 BBQ Zinfandel (California),Zinfandel,15.0,750 ml,87,Renwood,"Fresh grapey, berry-like aromas and rich, ripe flavors make this medium-bodied wine easy to drink. It's smoothly textured and almost sweet, with generous fruit elements filling out the palate and persisting through the finish.",14%
Red,US,Midnight 2012 Zenith Red (Paso Robles Willow Creek District),Bordeaux-style Red Blend,70.0,750 ml,90,Midnight,"Vanilla and cherry cola aromas make for an approachable nose in this blend of 59% Cabernet Sauvignon, 21% Malbec, 10% Merlot and 10% Petit Verdot. Similar flavors arise on the palate, framed by a noticeable structure yet remaining friendly and easy to like.",15.5%
Red,US,Obelisco Estate 2013 Estate Grown Malbec (Red Mountain),Malbec,50.0,750 ml,87,Obelisco Estate,"Aromas of exotic spice, game, cherry and medicine cabinet lead to plush fruit and savory flavors. The overt gaminess seems distracting, with the flavors tapering off toward the finish.",13.4%
Red,US,Rubinna 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,75.0,750 ml,86,Rubinna,"Robust and sanguine, this softly layered wine offers a simple take on the varietya study in blackberry, leather and peppercorn flavors.",14.1%
White,US,Martinez & Martinez 2015 Tudor Hills Vineyard Viognier (Yakima Valley),Viognier,16.0,750 ml,87,Martinez & Martinez,"The aromas are bright and generous, with notes of honeysuckle and canned peach. The fruit is so sweet on the palate, it drinks almost off dry, with abundant stone-fruit and floral flavors that linger.",13.67%
Red,US,Kokomo 2014 Timber Crest Vineyard Estate Grown Primitivo (Dry Creek Valley),Primitivo,42.0,750 ml,87,Kokomo,"Simple red and black berry fruit defines this estate wine, along with its soft, ripe and lightly structured body. Vanilla and cranberry notes emerge on the midpalate, while the finish is marked by a grip of oaky tannin.",14.8%
White,US,Ideology 2014 Blondie Gone Wild Red Hen Vineyard Chardonnay (Oak Knoll District),Chardonnay,32.0,750 ml,86,Ideology,"Dark gold in color, this wine is marked by floral jasmine aromas before toasty oak and weightiness take over on the palate. Green apple and tropical flourishes provide additional richness.",14.3%
Red,US,Ironstone 2015 Cabernet Sauvignon (Lodi),Cabernet Sauvignon,12.0,750 ml,86,Ironstone,"Smoky, toasted walnut aromas and oaky flavors make this full-bodied wine taste like the volume is turned up loud. It feels firmly tannic and broad on the palate, its toasted oak qualities coating the mouth and lingering on the finish.",14.5%
Red,US,MCV 2014 1105 Red (Paso Robles),Red Blend,48.0,750 ml,90,MCV,"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit Verdot, 5% Tannat and 1% Viognier is tightly wound but likely to improve with time. Opened now, it offers elderberry, black currant, pencil lead and loam on the nose, with lava rock, crme de cassis and kirsch flavors slowing emerging on the palate.",15.2%
Red,US,Greenwood Ridge 2013 Hundred Point Cabernet Sauvignon (Mendocino Ridge),Cabernet Sauvignon,50.0,750 ml,86,Greenwood Ridge,"Contrary to its name, this isn't exactly a 100-point wine, but it is ripe and full-flavored. Smooth on the palate and almost soft in texture, it's medium-bodied and very drinkable.",13.8%
Red,US,LXV 2014 X Reserve Kiler Canyon Vineyard Syrah (Paso Robles Willow Creek District),Syrah,65.0,750 ml,87,LXV,Dried purple flower and candied Concord grape aromas lead the nose of this approachable bottling. The palate offers blackberry fruit and a touch of graphite-like minerality. It's pleasant but not overly complex.,14.1%
White,US,Jamesport 2013 Estate Riesling (North Fork of Long Island),Riesling,25.0,750 ml,86,Jamesport,"Quite savory in style, this dry full-bodied Riesling suggests pressed apple and pear flavors marked by brisk slightly puckering acidity. A touch of sweet spice warms a moderately long finish.",13.5%
White,US,Okapi 2015 Sauvignon Blanc (Oak Knoll District),Sauvignon Blanc,30.0,750 ml,87,Okapi,"Lawn cuttings and pea shoots come to mind in this lively white that's spritzy in acidity and freshness. Lemon peel and pineapple define the flavor profile, a mix of tangy and tropical.",14.1%
White,US,Broken Earth 2014 Chardonnay (Paso Robles),Chardonnay,18.0,750 ml,86,Broken Earth,"This bottling from winemaker Chris Cameron shows smoky touches of vanilla and caramel on the nose, proving quite ripe and buttery. Dried lemon skin and smoked white meat flavors show on the palate, making this a solid weeknight sipper for anyone who likes a full-bodied Chardonnay.",15%
Red,US,Castle Rock 2014 Cuve Red (Columbia Valley (WA)),Red Blend,14.0,750 ml,86,Castle Rock,"This wine is a blend of Cabernet Sauvignon, Merlot, Pinot Noir and Syrah. Aromas of green wood mixed with tire rubber, red currant, strawberry and spice. It delivers red and black-fruit flavors that linger on the finish.",13.5%
White,US,Martha Clara 2014 Estate Reserve Riesling (North Fork of Long Island),Riesling,26.0,750 ml,87,Martha Clara,"Sharp lemon-lime acidity levitates this zingy dry Riesling. It's exceptionally light bodied with tart slightly savory apple and pear flavors. The finish is moderately long, marked by a welcome touch of honey.",11.5%
Red,US,Frei Brothers 2013 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,27.0,750 ml,87,Frei Brothers,"This is a well-put-together, affordable wine that's moderate in ripeness and tannin and easygoing on the palate, offering a plethora of red and black cherry fruit.",14.2%
Red,US,Fenestra NV True Red Lot 30 Red (California),Red Blend,16.0,750 ml,86,Fenestra,"Spicy oak nuances and maturity give this full-bodied wine a broad range of peppery, leathery, cedary aromas and mellow flavors reminiscent of milk chocolate and tamarind. It's rustic but fun to taste.",14.1%
White,US,Gainey 2014 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,15.0,750 ml,90,Gainey,"This is a stellar deal, so buy and drink up now. Lime blossom, ripe nectarine, lemongrass and wet gravel aromas show on the nose. The palate is focused and grassy, fleshed out with ripe stone fruit and layers of lime peel and rain-drenched cement. Elegant yet approachable.",13.4%
White,US,Expression 38 2014 Gap's Crown Vineyard Chardonnay (Sonoma Coast),Chardonnay,45.0,750 ml,90,Expression 38,"Lemon mousse aromas and flavors provide the richness and allure of this wine, as steely acidity keeps it fresh and vibrant. Full-bodied, it continues to taste strongly of Gravenstein apple and nutmeg and is bolstered by toasted oak.",14.5%
White,US,Heron Hill 2015 Unaoked Chardonnay (Finger Lakes),Chardonnay,15.0,750 ml,86,Heron Hill,"Fresh lemon and red-apple flavors are bright and clean in this medium-bodied dry white. While brisk in texture and approachably fresh, the finish is marked by a bite of astringency.",12.5%
White,US,Eric Kent 2014 Luke's Grove Chardonnay (Russian River Valley),Chardonnay,42.0,750 ml,90,Eric Kent,"From a selection of vineyards, most predominantly Stiling, this wine offers tart acidity and a low oak profile upfront, allowing the fruit to build richness and density as it opens. Baked apple and mango flavors are spiced with nutmeg and caramel, finishing with steely minerality.",14.2%
White,US,Pia 2014 Low Vineyard Chardonnay (Oak Knoll District),Chardonnay,34.0,750 ml,86,Pia,"The caramel oakiness of this wine is offset by austere structure and a focused midpalate, the flavors leaning toward cool-climate green apple and kumquat. It returns to richness and intensity on the finish.",14.2%
White,US,Dr. Konstantin Frank 2015 Dry Riesling (Finger Lakes),Riesling,15.0,750 ml,90,Dr. Konstantin Frank,Bright mango and pineapple tones are cut by laser-sharp edges of lime in this delicately structured dry Riesling. Invigorating white grapefruit and a steely sensation gild a lingering finish.,12%
White,US,Swedish Hill 2015 Humphreys Vineyard Riesling (Finger Lakes),Riesling,22.0,750 ml,86,Swedish Hill,Dusty minerals and smoked nuts permeate through savory tones of apple and pear in this off-dry Riesling. It's a light-footed wine with soft yielding acidity.,11.9%
Red,US,Three Thieves 2014 Red (California),Red Blend,8.0,750 ml,86,Three Thieves,"Very fruity, lightly sweet and full bodied, this easygoing blend of Zinfandel, Merlot and other varieties smells like maple syrup, tastes jammy and has enough sweetness to balance its tannic texture.",13.5%
White,US,Barnstormer 2015 Dry Riesling (Finger Lakes),Riesling,20.0,750 ml,87,Barnstormer,Zippy acidity drives this dry medium-bodied Riesling. Its fresh green-apple and lime flavors are delicate in concentration but refreshingly crisp. Drink now through 2020.,12%
White,US,J Vineyards & Winery 2015 Estate Grown Pinot Gris (Russian River Valley),Pinot Gris,34.0,750 ml,90,J Vineyards & Winery,"Waxy peach-, pineapple- and pear-scented, this fulsome and fresh white offers lively acidity within a complex, medium-bodied framework. From estate-grown fruit, it's a rarity from the appellation and well worth seeking out.",14.2%
Red,US,Conn Creek 2013 Sori Bricco Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,90.0,750 ml,90,Conn Creek,"This vineyard designate offers mountain-grown characteristics like sage, dried herb and graphite. Full-bodied and built to age, it also shows earthy mushroom underpinnings that recall its forest-like aromas.",14.5%
White,US,Hosmer 2015 Chardonnay (Cayuga Lake),Chardonnay,14.0,750 ml,87,Hosmer,"Lavish notes of vanilla, spice and toast extend throughout this rich silken-textured Chardonnay. Soft apple and pear flavors are lush and ripe on the palate, highlighted by sunny lemonade acidity. The finish is moderately long, accompanied by a pleasant bite of astringency.",13.1%
White,US,Solitude 2014 Chardonnay (Carneros),Chardonnay,30.0,750 ml,91,Solitude,"With a rich nose of toasted oak and caramel, this wine, sourced from the Sangiacomo Vineyard, takes on more brightness on the palatea medium-bodied celebration of green apple flavor with squeezes of tangerine and lime.",14.1%
Red,US,Carlisle 2014 Carlisle Vineyard Zinfandel (Russian River Valley),Zinfandel,47.0,750 ml,90,Carlisle,"From an almost centenarian vineyard planted to mixed varieties, this has juicy core of cherry and blackberry fruit. An undercurrent of Asian spice and white pepper shows through, finishing on a minty chocolate note.",15%
