"12/11 1:00 ET" "At Detroit" -10 Minnesota 47 "-$550 +$425" 2011 14
"12/11 1:00 ET" "New Orleans" -3.5 "At Tennessee" 48 "-$180 +$160" 2011 14
"12/11 1:00 ET" "At Miami" -3 Philadelphia 44.5 "-$150 +$130" 2011 14
"12/11 1:00 ET" "New England" -7.5 "At Washington" 46.5 "-$355 +$395" 2011 14
"12/11 1:00 ET" Atlanta -3 "At Carolina" 47.5 "-$145 +$125" 2011 14
"12/11 1:00 ET" "Tampa Bay" -3 "At Jacksonville" 42 "-$150 +$130" 2011 14
"12/11 4:05 ET" "San Francisco" -3.5 "At Arizona" 39.5 "-$180 +$160" 2011 14
"12/11 4:05 ET" "At Denver" -3 Chicago 35.5 "-$180 +$160" 2011 14
"12/11 4:15 ET" "At San Diego" -7 Buffalo 49.5 "-$340 +$280" 2011 14
"12/11 8:30 ET" "At Dallas" -4.5 "NY Giants" 49.5 "-$240 +$200" 2011 14
"12/12 8:35 ET" "At Seattle" -8.5 "St. Louis" 38 "-$405 +$335" 2011 14
"12/9 8:20 ET" Indianapolis -3.5 "At Tennessee" 44 "-$185 +$160" 2010 14
"12/12 1:00 ET" "At Jacksonville" -3.5 Oakland 41.5 "-$195 +$170" 2010 14
"12/12 1:00 ET" "At Pittsburgh" -8.5 Cincinnati 39.5 "-$400 +$320" 2010 14
"12/12 4:15 ET" "New England" -3 "At Chicago" 37 "-$150 +$130" 2010 14
"12/12 1:00 ET" "At Buffalo" PK Cleveland 39 "-$110 -$110" 2010 14
"12/12 1:00 ET" "NY Giants" -5 "At Minnesota" 43.5 "-$240 +$200" 2010 14
"12/12 1:00 ET" "Green Bay" -7 "At Detroit" 46 "-$310 +$250" 2010 14
"12/12 1:00 ET" Atlanta -7.5 "At Carolina" 41.5 "-$350 +$290" 2010 14
"12/12 4:05 ET" "Tampa Bay" -1.5 "At Washington" 41 "-$125 +$105" 2010 14
"12/12 4:05 ET" "At New Orleans" -9.5 "St. Louis" 47 "-$450 +$350" 2010 14
"12/12 4:15 ET" "At San Francisco" -4.5 Seattle 42.5 "-$220 +$180" 2010 14
"12/12 4:15 ET" "At NY Jets" -5 Miami 37.5 "-$230 +$190" 2010 14
"12/12 4:15 ET" Denver -4 "At Arizona" 44.5 "-$200 +$170" 2010 14
"12/12 8:20 ET" "At San Diego" -10 "Kansas City" 45.5 "-$550 +$425" 2010 14
"12/13 8:35 ET" Philadelphia -4.5 "At Dallas" 51 "-$220 +$185" 2010 14
"12/13 7:20 ET" Baltimore -3 "At Houston" 46.5 "-$150 +$130" 2010 14
"12/10 8:20 ET" Pittsburgh -9.5 "At Cleveland" 34 "-$550 +$400" 2009 14
"12/13 1:00 ET" "At Indianapolis" -6.5 Denver 43.5 "-$295 +$240" 2009 14
"12/13 1:00 ET" "At Minnesota" -6 Cincinnati 42.5 "-$260 +$215" 2009 14
"12/13 1:00 ET" "NY Jets" -3.5 "At Tampa Bay" 36.5 "-$190 +$165" 2009 14
"12/13 1:00 ET" Buffalo -2.5 "At Kansas City" 38 "-$150 +$140" 2009 14
"12/13 1:00 ET" "Green Bay" -4 "At Chicago" 41.5 "-$215 +$185" 2009 14
"12/13 1:00 ET" "New Orleans" -10 "At Atlanta" 50 "-$525 +$400" 2009 14
"12/13 1:00 ET" "At Baltimore" -14 Detroit 40 "-$900 +$600" 2009 14
"12/13 1:00 ET" "At Jacksonville" -2 Miami 43 "-$130 +$110" 2009 14
