"","btc_usd","usd_vol","btc_eur","eur_vol","btc_cad","cad_vol","btc_aud","aud_vol","btc_gbp","gbp_vol","btc_jpy","jpy_vol","btc_cny","cny_vol","btc_brl","brl_vol","btc_rub","rub_vol","btc_sll","sll_vol","USDEUR","USDGBP","USDCAD","USDJPY","USDAUD","USDCNY","USDRUB","USDSLL","oil","gold","VTWSX","EEM","EFA","XCI","btc_USDEUR","btc_USDGBP","btc_USDCAD","btc_USDAUD","btc_USDJPY","btc_USDCNY","btc_USDRUB","btc_USDBRL","btc_USDSLL"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73838,0.64863,1.0527,90.278999,1.1181,6.817,29.999201,NA,NA,NA,14.471027,33.84396,42.625168,849.549988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73877,0.656,1.0609,89.269997,1.128,6.8169,30.003,NA,NA,NA,14.411265,33.565491,42.365955,848.130005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73362,0.65621,1.0515,88.920998,1.1162,6.8167,29.9245,NA,NA,NA,14.488103,33.904884,42.625168,848.659973,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73735,0.66761,1.0414,89.150002,1.1105,6.8164,29.9503,NA,NA,NA,14.650315,34.479244,42.957291,861.369995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73418,0.66542,1.03451,88.739998,1.105,6.8175,29.975,NA,NA,NA,14.735687,34.870857,43.281319,857.340027,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72984,0.66212,1.0318,88.57,1.1047,6.8159,29.76,NA,NA,NA,14.821065,34.914368,43.799755,857.409973,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73616,0.66507,1.0312,89.160004,1.1114,6.8166,29.8092,NA,NA,NA,14.821065,34.731613,43.68634,862.210022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73373,0.66081,1.0288,90.220001,1.1014,6.8165,29.820101,NA,NA,NA,15.051577,35.636677,44.536903,873.619995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73438,0.66481,1.0279,90.286003,1.1009,6.817,29.748501,NA,NA,NA,15.077189,35.662785,44.536903,875.469971,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73492,0.66594,1.0268,89.988998,1.0924,6.8174,29.729,NA,NA,NA,15.077189,35.862942,44.431591,878.909973,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73296,0.668,1.0254,90.470001,1.0942,6.8161,29.5898,NA,NA,NA,15.154026,36.115314,44.617905,884.97998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73071,0.66348,1.0235,90.648003,1.0922,6.8162,29.447001,NA,NA,NA,15.205251,36.124016,44.788021,889.340027,NA,NA,NA,NA,NA,NA,NA,NA,NA
