feature,score
ekder_all,3.8606393119e-06
ekder_male,3.69934202262e-06
apartment_build,2.16229779672e-06
fixed_basket,2.11744600865e-06
deposits_value,2.03146225675e-08
bandwidth_sports,1.75076538604e-08
mortgage_value,5.8550527581e-09
water_1line_yes,-6.58592394487e-18
radiation_raion_yes,-1.6512191214e-17
nuclear_reactor_raion_yes,-5.93137091403e-17
railroad_1line_yes,-5.94284843206e-17
thermal_power_plant_raion_yes,-7.15439966425e-17
construction_value,-4.99029212963e-08
work_all,-7.57760482891e-07
raion_popul,-7.75389324995e-07
invest_fixed_capital_per_cap,-1.13139393361e-06
work_male,-1.15697597701e-06
apartment_fund_sqm,-2.21397295968e-06
ekder_female,-2.3563353185e-06
salary,-4.71254458157e-06
gdp_quart,-4.80809288381e-06
turnover_catering_per_cap,-8.29241788276e-06
rts,-1.85689904302e-05
grp,-2.43260544801e-05
sport_count_1500,-0.000110835185344
micex_cbi_tr,-0.000111796522415
ID_railroad_terminal,-0.000220523462217
university_km,-0.000262813642554
load_of_teachers_school_per_teacher,-0.000279673627719
museum_visitis_per_100_cap,-0.000321759863855
fin_res_per_cap,-0.00033763521635
oil_urals,-0.000429329880338
museum_km,-0.000438078325811
ID_big_road2,-0.000521617744686
office_sqm_500,-0.00064882131433
trc_sqm_1000,-0.000768612366721
trc_sqm_500,-0.000950571996698
build_count_1921-1945,-0.00100415284102
trc_sqm_1500,-0.00122435028409
cafe_count_1500_price_2500,-0.00142948896689
preschool_education_centers_raion,-0.00149045255679
rent_price_1room_bus,-0.00153601441739
prom_part_500,-0.00166962638527
kindergarten_km,-0.00221168844133
prom_part_1500,-0.00226479051953
trc_count_500,-0.00238312646554
micex_rgbi_tr,-0.00252892936618
build_count_monolith,-0.00262394379714
market_count_3000,-0.0028020087209
catering_km,-0.00289718403948
build_count_frame,-0.00303439797746
ID_railroad_station_avto,-0.00316989252365
trc_count_1000,-0.00355351921525
nuclear_reactor_km,-0.00400037643391
market_count_2000,-0.00408261640078
water_treatment_km,-0.00413452466103
ID_bus_terminal,-0.00417982657207
church_synagogue_km,-0.00487175337403
build_count_panel,-0.00493311889292
office_sqm_3000,-0.00532296036099
market_count_5000,-0.00573963933419
build_count_slag,-0.00584116088623
church_count_1500,-0.00604434849848
office_sqm_5000,-0.00611112752727
cemetery_km,-0.0064535889516
church_count_3000,-0.00665929910457
sub_area_Poselenie Filimonkovskoe,-0.00677078892077
cafe_sum_1000_min_price_avg,-0.00713920761622
office_raion,-0.00731847861645
material,-0.00742333219217
cafe_count_500_price_500,-0.00762887326415
build_year,-0.00793804745512
cafe_count_3000_price_2500,-0.00803107589606
trc_sqm_2000,-0.00815759140824
build_count_1946-1970,-0.0082736829225
green_part_1000,-0.00849793575771
industrial_km,-0.00874293607795
public_healthcare_km,-0.00956001356496
prom_part_1000,-0.0102293365633
build_count_wood,-0.0103697559298
cafe_count_3000_price_500,-0.0106802961748
railroad_station_walk_km,-0.0110981172739
market_shop_km,-0.0112958832763
sub_area_Presnenskoe,-0.0114495181537
balance_trade_growth,-0.0124055888986
cafe_count_1000_price_500,-0.0128469318738
ecology_satisfactory,-0.0135240955678
theater_km,-0.0145093904346
cafe_count_500_price_1500,-0.0149958729941
preschool_km,-0.0154742624126
sub_area_Ivanovskoe,-0.0164838546952
public_transport_station_min_walk,-0.0165523168124
cafe_count_1500_price_1000,-0.0177703787042
water_km,-0.0177891498166
build_count_before_1920,-0.0194001881649
sub_area_Danilovskoe,-0.0196027593578
sub_area_Mitino,-0.0197320631661
build_count_1971-1995,-0.0198650971019
average_provision_of_build_contract_moscow,-0.021042546547
fitness_km,-0.0212179176808
big_church_count_2000,-0.0218660014922
prom_part_3000,-0.0227799362836
leisure_count_2000,-0.0236271271961
big_church_km,-0.0246158559657
sub_area_Bogorodskoe,-0.025765017399
cafe_count_500_price_2500,-0.0265626101889
build_count_block,-0.0274330888821
office_count_2000,-0.0325728189227
workplaces_km,-0.0328564784674
sub_area_Birjulevo Vostochnoe,-0.0363524162031
cafe_count_2000_price_high,-0.043869804699
church_count_500,-0.0442706009539
ts_km,-0.0450957494164
additional_education_km,-0.0482279460463
cafe_count_500_price_4000,-0.0497430002192
mosque_count_3000,-0.0511147336469
green_zone_km,-0.0579580095815
big_church_count_3000,-0.0590651956925
thermal_power_plant_km,-0.0623166716993
sub_area_Akademicheskoe,-0.0647390343089
prom_part_5000,-0.0693874956491
metro_min_avto,-0.0765053599136
sub_area_Zapadnoe Degunino,-0.10171999466
sub_area_Nekrasovka,-0.114270970073
sub_area_Solncevo,-0.142780186811
product_type_Investment,-0.161748094725
sadovoe_km,-0.305651038807
