,gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre,rating,audience,First_Week
1410,"$16,377,274","R,2012-09-21",The Master,"7.1 based on 112,472 user ratings","$32,000,000",Paul Thomas Anderson,144M,"Philip Seymour Hoffman,Joaquin Phoenix,Amy Adams","         $736,311        

      (USA)
      ",2012,Drama,7.1,"112,472"," $736,311"
1411,"$18,600,911","PG-13,2012-01-27",Man on a Ledge,"6.6 based on 128,969 user ratings","$42,000,000",Asger Leth,102M,"Sam Worthington,Elizabeth Banks,Jamie Bell","         $8,001,932        

      (USA)
      ",2012,"Action,Crime,Thriller",6.6,"128,969"," $8,001,932"
1412,"$37,101,011","PG-13,2012-12-19",The Guilt Trip,"5.8 based on 31,451 user ratings","$40,000,000",Anne Fletcher,95M,"Barbra Streisand,Seth Rogen,Julene Renee","         $5,290,629        

      (USA)
      ",2012,"Comedy,Drama",5.8,"31,451"," $5,290,629"
1413,"$73,058,679","PG-13,2012-03-09",John Carter,"6.6 based on 220,138 user ratings","$250,000,000",Andrew Stanton,132M,"Taylor Kitsch,Lynn Collins,Willem Dafoe","         $30,180,188        

      (USA)
      ",2012,"Action,Adventure,Sci-Fi",6.6,"220,138"," $30,180,188"
1414,"$93,749,203","R,2012-11-02",Flight,"7.3 based on 275,693 user ratings","$31,000,000",Robert Zemeckis,138M,"Denzel Washington,Nadine Velazquez,Don Cheadle","         $24,900,566        

      (USA)
      ",2012,"Drama,Thriller",7.3,"275,693"," $24,900,566"
1416,"$58,676,235","PG-13,2012-12-21",Jack Reacher,"7.0 based on 249,914 user ratings","$60,000,000",Christopher McQuarrie,130M,"Tom Cruise,Rosamund Pike,Richard Jenkins","         $15,210,156        

      (USA)
      ",2012,"Action,Crime,Mystery",7.0,"249,914"," $15,210,156"
1417,"$148,313,048","PG,2012-09-28",Hotel Transylvania,"7.1 based on 175,806 user ratings","$85,000,000",Genndy Tartakovsky,91M,"Adam Sandler,Kevin James,Andy Samberg","         $42,522,194        

      (USA)
      ",2012,"Animation,Comedy,Family",7.1,"175,806"," $42,522,194"
1418,"$303,001,229","PG-13,2012-12-14",The Hobbit: An Unexpected Journey,"7.9 based on 666,760 user ratings","$180,000,000",Peter Jackson,169M,"Martin Freeman,Ian McKellen,Richard Armitage","         $84,617,303        

      (USA)
      ",2012,"Adventure,Fantasy",7.9,"666,760"," $84,617,303"
1419,"$45,290,318","PG,2012-10-12",Here Comes the Boom,"6.4 based on 76,626 user ratings","$42,000,000",Frank Coraci,105M,"Kevin James,Salma Hayek,Henry Winkler","         $11,816,596        

      (USA)
      ",2012,"Action,Comedy,Sport",6.4,"76,626"," $11,816,596"
1420,"$85,017,401","R,2012-08-17",The Expendables 2,"6.6 based on 256,706 user ratings","$100,000,000",Simon West,103M,"Sylvester Stallone,Liam Hemsworth,Randy Couture","         $28,591,370        

      (USA)
      ",2012,"Action,Adventure,Thriller",6.6,"256,706"," $28,591,370"
1421,"$40,983,001","R,2012-09-21",End of Watch,"7.7 based on 191,634 user ratings","$7,000,000",David Ayer,109M,"Jake Gyllenhaal,Michael Peña,Anna Kendrick","         $13,152,683        

      (USA)
      ",2012,"Crime,Drama,Thriller",7.7,"191,634"," $13,152,683"
1422,"$13,401,683","R,2012-09-21",Dredd,"7.1 based on 213,104 user ratings","$35,000,000",Pete Travis,95M,"Karl Urban,Olivia Thirlby,Lena Headey","         $6,278,491        

      (USA)
      ",2012,"Action,Sci-Fi",7.1,"213,104"," $6,278,491"
1423,"$162,804,648","R,2012-12-25",Django Unchained,"8.4 based on 1,034,156 user ratings","$100,000,000",Quentin Tarantino,165M,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio","         $30,122,888        

      (USA)
      ",2012,"Drama,Western",8.4,"1,034,156"," $30,122,888"
1424,"$79,711,678","PG-13,2012-05-11",Dark Shadows,"6.2 based on 208,792 user ratings","$150,000,000",Tim Burton,113M,"Johnny Depp,Michelle Pfeiffer,Eva Green","         $29,685,274        

      (USA)
      ",2012,"Comedy,Fantasy,Horror",6.2,"208,792"," $29,685,274"
1425,"$448,130,642","PG-13,2012-07-20",The Dark Knight Rises,"8.5 based on 1,218,103 user ratings","$250,000,000",Christopher Nolan,164M,"Christian Bale,Tom Hardy,Anne Hathaway","         $160,887,295        

      (USA)
      ",2012,"Action,Thriller",8.5,"1,218,103"," $160,887,295"
1426,"$27,098,580","R,2012-10-26",Cloud Atlas,"7.5 based on 297,871 user ratings","$102,000,000",Tom Tykwer,172M,"Tom Hanks,Halle Berry,Hugh Grant","         $9,612,247        

      (USA)
      ",2012,"Drama,Sci-Fi",7.5,"297,871"," $9,612,247"
1427,"$86,897,182","R,2012-08-10",The Campaign,"6.2 based on 110,336 user ratings","$95,000,000",Jay Roach,85M,"Will Ferrell,Zach Galifianakis,Jason Sudeikis","         $26,588,460        

      (USA)
      ",2012,Comedy,6.2,"110,336"," $26,588,460"
1428,"$42,043,633","R,2012-04-13",The Cabin in the Woods,"7.0 based on 294,558 user ratings","$30,000,000",Drew Goddard,95M,"Kristen Connolly,Chris Hemsworth,Anna Hutchison","         $14,743,614        

      (USA)
      ",2012,Horror,7.0,"294,558"," $14,743,614"
1429,"$237,282,182","PG,2012-06-22",Brave,"7.2 based on 292,755 user ratings","$185,000,000",Mark Andrews,93M,"Kelly Macdonald,Billy Connolly,Emma Thompson","         $66,323,594        

      (USA)
      ",2012,"Animation,Adventure,Comedy",7.2,"292,755"," $66,323,594"
1430,"$113,165,635","PG-13,2012-08-10",The Bourne Legacy,"6.7 based on 244,594 user ratings","$125,000,000",Tony Gilroy,135M,"Jeremy Renner,Rachel Weisz,Edward Norton","         $38,142,825        

      (USA)
      ",2012,"Action,Adventure,Mystery",6.7,"244,594"," $38,142,825"
1431,"$65,173,160","PG-13,2012-05-18",Battleship,"5.8 based on 209,818 user ratings","$209,000,000",Peter Berg,131M,"Alexander Skarsgård,Brooklyn Decker,Liam Neeson","         $25,534,825        

      (USA)
      ",2012,"Action,Adventure,Sci-Fi",5.8,"209,818"," $25,534,825"
1432,"$623,279,547","PG-13,2012-05-04",The Avengers,"8.1 based on 1,042,699 user ratings","$220,000,000",Joss Whedon,143M,"Robert Downey Jr.,Chris Evans,Scarlett Johansson","         $207,438,708        

      (USA)
      ",2012,"Action,Sci-Fi",8.1,"1,042,699"," $207,438,708"
1433,"$56,724,080","R,2012-04-06",American Reunion,"6.7 based on 178,072 user ratings","$50,000,000",Jon Hurwitz,113M,"Jason Biggs,Alyson Hannigan,Seann William Scott","         $21,514,080        

      (USA)
      ",2012,Comedy,6.7,"178,072"," $21,514,080"
1434,"$262,030,663","PG-13,2012-07-03",The Amazing Spider-Man,"7.0 based on 472,918 user ratings","$230,000,000",Marc Webb,136M,"Andrew Garfield,Emma Stone,Rhys Ifans","         $62,004,688        

      (USA)
      ",2012,"Action,Adventure",7.0,"472,918"," $62,004,688"
1435,"$138,447,667","R,2012-03-16",21 Jump Street,"7.2 based on 430,594 user ratings","$42,000,000",Phil Lord,110M,"Jonah Hill,Channing Tatum,Ice Cube","         $36,302,612        

      (USA)
      ",2012,"Action,Comedy,Crime",7.2,"430,594"," $36,302,612"
1436,"$37,553,932","PG-13,2011-10-28",In Time,"6.7 based on 318,211 user ratings","$40,000,000",Andrew Niccol,109M,"Justin Timberlake,Amanda Seyfried,Cillian Murphy","         $12,050,368        

      (USA)
      ",2011,"Action,Sci-Fi,Thriller",6.7,"318,211"," $12,050,368"
1437,"$169,705,587","PG-13,2011-08-10",The Help,"8.1 based on 341,139 user ratings","$25,000,000",Tate Taylor,146M,"Emma Stone,Viola Davis,Octavia Spencer","         $26,044,590        

      (USA)
      ",2011,Drama,8.1,"341,139"," $26,044,590"
1438,"$102,515,793","R,2011-12-21",The Girl with the Dragon Tattoo,"7.8 based on 347,478 user ratings","$90,000,000",David Fincher,158M,"Daniel Craig,Rooney Mara,Christopher Plummer","         $12,750,000        

      (USA)
      ",2011,"Crime,Drama,Mystery",7.8,"347,478"," $12,750,000"
1439,"$146,405,371","PG-13,2011-06-03",X-Men: First Class,"7.8 based on 548,156 user ratings","$160,000,000",Matthew Vaughn,132M,"James McAvoy,Michael Fassbender,Jennifer Lawrence","         $55,101,604        

      (USA)
      ",2011,"Action,Adventure,Sci-Fi",7.8,"548,156"," $55,101,604"
1440,"$241,063,875","PG-13,2011-05-20",Pirates of the Caribbean: On Stranger Tides,"6.7 based on 393,028 user ratings","$250,000,000",Rob Marshall,136M,"Johnny Depp,Penélope Cruz,Ian McShane","         £11,634,860        

      (UK)
      ",2011,"Action,Adventure,Fantasy",6.7,"393,028"," £11,634,860"
1441,"$380,955,619","PG-13,2011-07-15",Harry Potter and the Deathly Hallows: Part 2,"8.1 based on 587,813 user ratings","$125,000,000",David Yates,130M,"Daniel Radcliffe,Emma Watson,Rupert Grint","         $169,189,427        

      (USA)
      ",2011,"Adventure,Drama,Fantasy",8.1,"587,813"," $169,189,427"
1442,"$209,805,005","PG-13,2011-04-29",Fast Five,"7.3 based on 299,408 user ratings","$125,000,000",Justin Lin,131M,"Vin Diesel,Paul Walker,Dwayne Johnson","         £5,332,096        

      (UK)
      ",2011,"Action,Crime,Thriller",7.3,"299,408"," £5,332,096"
1443,"$35,054,909","R,2011-09-16",Drive,"7.8 based on 459,840 user ratings","$15,000,000",Nicolas Winding Refn,100M,"Ryan Gosling,Carey Mulligan,Bryan Cranston","         $11,340,461        

      (USA)
      ",2011,"Crime,Drama",7.8,"459,840"," $11,340,461"
1444,"$414,984,497","G,2010-06-18",Toy Story 3,"8.3 based on 584,191 user ratings","$200,000,000",Lee Unkrich,103M,"Tom Hanks,Tim Allen,Joan Cusack","         $109,000,000        

      (USA)
      ",2010,"Animation,Adventure,Comedy",8.3,"584,191"," $109,000,000"
1445,"$172,051,787","PG,2010-12-17",TRON: Legacy,"6.8 based on 273,442 user ratings","$170,000,000",Joseph Kosinski,125M,"Jeff Bridges,Garrett Hedlund,Olivia Wilde","         £1,970,692        

      (UK)
      ",2010,"Action,Adventure,Sci-Fi",6.8,"273,442"," £1,970,692"
1446,"$127,968,405","R,2010-02-19",Shutter Island,"8.1 based on 851,530 user ratings","$80,000,000",Martin Scorsese,138M,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo","         $41,062,440        

      (USA)
      ",2010,"Mystery,Thriller",8.1,"851,530"," $41,062,440"
1447,"$90,356,857","PG-13,2010-10-15",RED,"7.1 based on 249,333 user ratings","$58,000,000",Robert Schwentke,111M,"Bruce Willis,Helen Mirren,Morgan Freeman","         $21,761,408        

      (USA)
      ",2010,"Action,Comedy,Crime",7.1,"249,333"," $21,761,408"
1448,"$48,043,505","R,2010-04-16",Kick-Ass,"7.7 based on 455,423 user ratings","$30,000,000",Matthew Vaughn,117M,"Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz","         £3,881,704        

      (UK)
      ",2010,"Action,Comedy",7.7,"455,423"," £3,881,704"
1449,"$312,057,433","PG-13,2010-05-07",Iron Man 2,"7.0 based on 554,389 user ratings","$200,000,000",Jon Favreau,124M,"Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow","         £7,664,732        

      (UK)
      ",2010,"Action,Adventure,Sci-Fi",7.0,"554,389"," £7,664,732"
1450,"$292,568,851","PG-13,2010-07-16",Inception,"8.8 based on 1,576,697 user ratings","$160,000,000",Christopher Nolan,148M,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page","         £5,912,814        

      (UK)
      ",2010,"Action,Adventure,Sci-Fi",8.8,"1,576,697"," £5,912,814"
1451,"$217,387,997","PG,2010-03-26",How to Train Your Dragon,"8.2 based on 521,759 user ratings","$165,000,000",Dean DeBlois,98M,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse","         $43,732,319        

      (USA)
      ",2010,"Animation,Action,Adventure",8.2,"521,759"," $43,732,319"
1452,"$162,001,186","PG-13,2010-06-25",Grown Ups,"6.0 based on 189,815 user ratings","$80,000,000",Dennis Dugan,102M,"Adam Sandler,Salma Hayek,Kevin James","         $40,506,562        

      (USA)
      ",2010,Comedy,6.0,"189,815"," $40,506,562"
1453,"$251,501,645","PG,2010-07-09",Despicable Me,"7.7 based on 409,202 user ratings","$69,000,000",Pierre Coffin,95M,"Steve Carell,Jason Segel,Russell Brand","         $56,397,125        

      (USA)
      ",2010,"Animation,Adventure,Comedy",7.7,"409,202"," $56,397,125"
1454,"$760,505,847","PG-13,2009-12-18",Avatar,"7.8 based on 932,600 user ratings","$237,000,000",James Cameron,162M,"Sam Worthington,Zoe Saldana,Sigourney Weaver","         £8,509,050        

      (UK)
      ",2009,"Action,Adventure,Fantasy",7.8,"932,600"," £8,509,050"
1455,"$166,112,167","PG-13,2009-11-13",2012,"5.8 based on 297,104 user ratings","$200,000,000",Roland Emmerich,158M,"John Cusack,Thandie Newton,Chiwetel Ejiofor","         £6,489,809        

      (UK)
      ",2009,"Action,Adventure,Sci-Fi",5.8,"297,104"," £6,489,809"
1456,"$75,590,286","R,2009-10-02",Zombieland,"7.7 based on 407,984 user ratings","$23,600,000",Ruben Fleischer,88M,"Jesse Eisenberg,Emma Stone,Woody Harrelson","         $24,733,155        

      (USA)
      ",2009,"Adventure,Comedy,Horror",7.7,"407,984"," $24,733,155"
1457,"$179,883,016","PG-13,2009-05-01",X-Men Origins: Wolverine,"6.7 based on 387,001 user ratings","$150,000,000",Gavin Hood,107M,"Hugh Jackman,Liev Schreiber,Ryan Reynolds","         £6,658,979        

      (UK)
      ",2009,"Action,Adventure,Sci-Fi",6.7,"387,001"," £6,658,979"
1458,"$292,979,556","PG,2009-05-29",Up,"8.3 based on 718,919 user ratings","$175,000,000",Pete Docter,96M,"Edward Asner,Jordan Nagai,John Ratzenberger","         $68,108,790        

      (USA)
      ",2009,"Animation,Adventure,Comedy",8.3,"718,919"," $68,108,790"
1459,"$145,000,989","PG-13,2009-01-30",Taken,"7.8 based on 502,033 user ratings","$25,000,000",Pierre Morel,93M,"Liam Neeson,Maggie Grace,Famke Janssen","         £1,165,986        

      (UK)
      ",2008,"Action,Thriller",7.8,"502,033"," £1,165,986"
1460,"$257,704,099","PG-13,2009-05-08",Star Trek,"8.0 based on 525,332 user ratings","$150,000,000",J.J. Abrams,127M,"Chris Pine,Zachary Quinto,Simon Pegg","         £5,950,203        

      (UK)
      ",2009,"Action,Adventure,Sci-Fi",8.0,"525,332"," £5,950,203"
1461,"$120,523,073","R,2009-08-21",Inglourious Basterds,"8.3 based on 954,464 user ratings","$75,000,000",Quentin Tarantino,153M,"Brad Pitt,Diane Kruger,Eli Roth","         £3,596,415        

      (UK)
      ",2009,"Adventure,Drama,War",8.3,"954,464"," £3,596,415"
1462,"$277,313,371","R,2009-06-05",The Hangover,"7.8 based on 609,941 user ratings","$35,000,000",Todd Phillips,100M,"Zach Galifianakis,Bradley Cooper,Justin Bartha","         $44,979,319        

      (USA)
      ",2009,Comedy,7.8,"609,941"," $44,979,319"
1463,"$150,167,630","PG-13,2009-08-07",G.I. Joe: The Rise of Cobra,"5.8 based on 179,737 user ratings","$175,000,000",Stephen Sommers,118M,"Dennis Quaid,Channing Tatum,Marlon Wayans","         £1,708,760        

      (UK)
      ",2009,"Action,Adventure,Sci-Fi",5.8,"179,737"," £1,708,760"
1464,"$110,416,702","R,2008-08-13",Tropic Thunder,"7.0 based on 320,438 user ratings","$92,000,000",Ben Stiller,107M,"Ben Stiller,Jack Black,Robert Downey Jr.","         $25,812,796        

      (USA)
      ",2008,"Action,Comedy",7.0,"320,438"," $25,812,796"
1465,"$168,368,427","PG-13,2008-11-14",Quantum of Solace,"6.6 based on 346,919 user ratings","$200,000,000",Marc Forster,106M,"Daniel Craig,Olga Kurylenko,Mathieu Amalric","         £15,384,217        

      (UK)
      ",2008,"Action,Adventure",6.6,"346,919"," £15,384,217"
1466,"$318,298,180","PG-13,2008-05-02",Iron Man,"7.9 based on 734,927 user ratings","$140,000,000",Jon Favreau,126M,"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard","         £5,465,103        

      (UK)
      ",2008,"Action,Adventure,Sci-Fi",7.9,"734,927"," £5,465,103"
1467,"$533,316,061","PG-13,2008-07-18",The Dark Knight,"9.0 based on 1,784,846 user ratings","$185,000,000",Christopher Nolan,152M,"Christian Bale,Heath Ledger,Aaron Eckhart","         $158,411,483        

      (USA)
      ",2008,"Action,Crime,Drama",9.0,"1,784,846"," $158,411,483"
1468,"$318,759,914","PG-13,2007-07-03",Transformers,"7.1 based on 530,077 user ratings","$150,000,000",Michael Bay,144M,"Shia LaBeouf,Megan Fox,Josh Duhamel","         $70,502,384        

      (USA)
      ",2007,"Action,Adventure,Sci-Fi",7.1,"530,077"," $70,502,384"
1469,"$167,007,184","PG-13,2006-11-17",Casino Royale,"8.0 based on 493,749 user ratings","$150,000,000",Martin Campbell,144M,"Daniel Craig,Eva Green,Judi Dench","         £13,370,969        

      (UK)
      ",2006,"Action,Adventure,Thriller",8.0,"493,749"," £13,370,969"
1470,"$70,496,802","R,2006-03-17",V for Vendetta,"8.2 based on 844,031 user ratings","$54,000,000",James McTeigue,132M,"Hugo Weaving,Natalie Portman,Rupert Graves","         £1,188,058        

      (UK)
      ",2005,"Action,Drama,Thriller",8.2,"844,031"," £1,188,058"
1471,"$53,082,743","PG-13,2006-10-20",The Prestige,"8.5 based on 909,006 user ratings","$40,000,000",Christopher Nolan,130M,"Christian Bale,Hugh Jackman,Scarlett Johansson","         $14,801,808        

      (USA)
      ",2006,"Drama,Mystery,Sci-Fi",8.5,"909,006"," $14,801,808"
1472,"$132,373,442","R,2006-10-06",The Departed,"8.5 based on 933,885 user ratings","$90,000,000",Martin Scorsese,151M,"Leonardo DiCaprio,Matt Damon,Jack Nicholson","         £2,298,313        

      (UK)
      ",2006,"Crime,Drama,Thriller",8.5,"933,885"," £2,298,313"
1473,"$380,262,555","PG-13,2005-05-19",Star Wars: Episode III - Revenge of the Sith,"7.6 based on 555,788 user ratings","$113,000,000",George Lucas,140M,"Hayden Christensen,Natalie Portman,Ewan McGregor","         £14,361,469        

      (UK)
      ",2005,"Action,Adventure,Fantasy",7.6,"555,788"," £14,361,469"
1474,"$74,098,862","R,2005-04-01",Sin City,"8.0 based on 683,397 user ratings","$40,000,000",Frank Miller,124M,"Mickey Rourke,Clive Owen,Bruce Willis","         $29,120,273        

      (USA)
      ",2005,"Crime,Thriller",8.0,"683,397"," $29,120,273"
1475,"$205,343,774","PG-13,2005-06-15",Batman Begins,"8.3 based on 1,044,579 user ratings","$150,000,000",Christopher Nolan,140M,"Christian Bale,Michael Caine,Ken Watanabe","         £4,427,802        

      (UK)
      ",2005,"Action,Adventure",8.3,"1,044,579"," £4,427,802"
1476,"$86,049,418","PG-13,2004-04-30",Mean Girls,"7.0 based on 261,431 user ratings","$17,000,000",Mark Waters,97M,"Lindsay Lohan,Jonathan Bennett,Rachel McAdams","         $24,432,195        

      (USA)
      ",2004,Comedy,7.0,"261,431"," $24,432,195"
1477,"$84,136,909","PG-13,2004-07-09",Anchorman: The Legend of Ron Burgundy,"7.2 based on 280,046 user ratings","$26,000,000",Adam McKay,94M,"Will Ferrell,Christina Applegate,Steve Carell","         $28,416,365        

      (USA)
      ",2004,Comedy,7.2,"280,046"," $28,416,365"
1478,"$377,019,252","PG-13,2003-12-17",The Lord of the Rings: The Return of the King,"8.9 based on 1,294,471 user ratings","$94,000,000",Peter Jackson,201M,"Elijah Wood,Viggo Mortensen,Ian McKellen","         £15,021,761        

      (UK)
      ",2003,"Adventure,Drama,Fantasy",8.9,"1,294,471"," £15,021,761"
1479,"$380,838,870","G,2003-05-30",Finding Nemo,"8.1 based on 747,581 user ratings","$94,000,000",Andrew Stanton,100M,"Albert Brooks,Ellen DeGeneres,Alexander Gould","         $70,251,710        

      (USA)
      ",2003,"Animation,Adventure,Comedy",8.1,"747,581"," $70,251,710"
1480,"$141,204,016","PG-13,2002-08-09",xXx,"5.8 based on 151,541 user ratings","$70,000,000",Rob Cohen,124M,"Vin Diesel,Asia Argento,Marton Csokas","         $44,506,103        

      (USA)
      ",2002,"Action,Adventure,Thriller",5.8,"151,541"," $44,506,103"
1481,"$317,557,891","PG,2001-11-16",Harry Potter and the Sorcerer's Stone,"7.5 based on 482,561 user ratings","$125,000,000",Chris Columbus,152M,"Daniel Radcliffe,Rupert Grint,Richard Harris","         £16,335,627        

      (UK)
      ",2001,"Adventure,Family,Fantasy",7.5,"482,561"," £16,335,627"
1482,"$340,478,898","PG-13,2002-12-18",The Lord of the Rings: The Two Towers,"8.7 based on 1,173,035 user ratings","$94,000,000",Peter Jackson,179M,"Elijah Wood,Ian McKellen,Viggo Mortensen","         £13,063,560        

      (UK)
      ",2002,"Adventure,Drama,Fantasy",8.7,"1,173,035"," £13,063,560"
1483,"$313,837,577","PG-13,2001-12-19",The Lord of the Rings: The Fellowship of the Ring,"8.8 based on 1,315,798 user ratings","$93,000,000",Peter Jackson,178M,"Elijah Wood,Ian McKellen,Orlando Bloom","         £11,058,045        

      (UK)
      ",2001,"Adventure,Drama,Fantasy",8.8,"1,315,798"," £11,058,045"
1484,"$157,299,717","PG-13,2000-07-14",X-Men,"7.4 based on 480,696 user ratings","$75,000,000",Bryan Singer,104M,"Patrick Stewart,Hugh Jackman,Ian McKellen","         $54,471,475        

      (USA)
      ",2000,"Action,Adventure,Sci-Fi",7.4,"480,696"," $54,471,475"
1485,"$187,670,866","R,2000-05-05",Gladiator,"8.5 based on 1,049,503 user ratings","$103,000,000",Ridley Scott,155M,"Russell Crowe,Joaquin Phoenix,Connie Nielsen","         $34,819,017        

      (USA)
      ",2000,"Action,Adventure,Drama",8.5,"1,049,503"," $34,819,017"
1486,"$474,544,677","PG,1999-05-19",Star Wars: Episode I - The Phantom Menace,"6.5 based on 570,121 user ratings","$115,000,000",George Lucas,136M,"Ewan McGregor,Liam Neeson,Natalie Portman","         $64,810,970        

      (USA)
      ",1999,"Action,Adventure,Fantasy",6.5,"570,121"," $64,810,970"
1487,"$171,383,253","R,1999-03-31",The Matrix,"8.7 based on 1,299,456 user ratings","$63,000,000",Lana Wachowski,136M,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss","         $27,788,331        

      (USA)
      ",1999,"Action,Sci-Fi",8.7,"1,299,456"," $27,788,331"
1488,"$37,023,395","R,1999-10-15",Fight Club,"8.8 based on 1,444,816 user ratings","$63,000,000",David Fincher,139M,"Brad Pitt,Edward Norton,Meat Loaf","         $11,035,485        

      (USA)
      ",1999,Drama,8.8,"1,444,816"," $11,035,485"
1489,"$216,119,491","R,1998-07-24",Saving Private Ryan,"8.6 based on 946,759 user ratings","$70,000,000",Steven Spielberg,169M,"Tom Hanks,Matt Damon,Tom Sizemore","         $30,576,104        

      (USA)
      ",1998,"Drama,War",8.6,"946,759"," $30,576,104"
1490,"$17,439,163","R,1998-03-06",The Big Lebowski,"8.2 based on 574,893 user ratings","$15,000,000",Joel Coen,117M,"Jeff Bridges,John Goodman,Julianne Moore","         $5,533,844        

      (USA)
      ",1998,"Comedy,Crime",8.2,"574,893"," $5,533,844"
1491,"$191,796,233","G,1995-11-22",Toy Story,"8.3 based on 671,085 user ratings","$30,000,000",John Lasseter,81M,"Tom Hanks,Tim Allen,Don Rickles","         £18,210,323        

      (UK)
      ",1995,"Animation,Adventure,Comedy",8.3,"671,085"," £18,210,323"
1492,"$100,125,340","R,1995-09-22",Se7en,"8.6 based on 1,098,272 user ratings","$33,000,000",David Fincher,127M,"Morgan Freeman,Brad Pitt,Kevin Spacey","         £11,434,343        

      (UK)
      ",1995,"Crime,Drama,Mystery",8.6,"1,098,272"," £11,434,343"
1493,"$422,783,777","G,1994-06-24",The Lion King,"8.5 based on 696,978 user ratings","$45,000,000",Roger Allers,88M,"Matthew Broderick,Jeremy Irons,James Earl Jones","         £16,650,343        

      (UK)
      ",1994,"Animation,Adventure,Drama",8.5,"696,978"," £16,650,343"
1494,"$356,784,000","PG-13,1993-06-11",Jurassic Park,"8.1 based on 661,903 user ratings","$63,000,000",Steven Spielberg,127M,"Sam Neill,Laura Dern,Jeff Goldblum","         £32,723,932        

      (UK)
      ",1993,"Adventure,Sci-Fi,Thriller",8.1,"661,903"," £32,723,932"
1498,"$210,609,762","PG,1985-07-03",Back to the Future,"8.5 based on 788,711 user ratings","$19,000,000",Robert Zemeckis,116M,"Michael J. Fox,Christopher Lloyd,Lea Thompson","         £461,194        

      (UK)
      ",1985,"Adventure,Comedy,Sci-Fi",8.5,"788,711"," £461,194"
1499,"$460,935,665","PG,1977-05-25",Star Wars: Episode IV - A New Hope,"8.7 based on 974,338 user ratings","$11,000,000",George Lucas,121M,"Mark Hamill,Harrison Ford,Carrie Fisher","         $35,906,661        

      (USA)
      ",1977,"Action,Adventure,Fantasy",8.7,"974,338"," $35,906,661"
1501,"$202,853,933","PG-13,2014-05-02",The Amazing Spider-Man 2,"6.7 based on 340,936 user ratings","$200,000,000",Marc Webb,142M,"Andrew Garfield,Emma Stone,Jamie Foxx","         $91,608,337        

      (USA)
      ",2014,"Action,Adventure,Sci-Fi",6.7,"340,936"," $91,608,337"
1502,"$436,471,036","PG,2004-05-19",Shrek 2,"7.2 based on 333,407 user ratings","$150,000,000",Andrew Adamson,93M,"Mike Myers,Eddie Murphy,Cameron Diaz","         $108,037,878        

      (USA)
      ",2004,"Animation,Adventure,Comedy",7.2,"333,407"," $108,037,878"
1503,"$55,153,403","R,2004-10-29",Saw,"7.7 based on 314,352 user ratings","$1,200,000",James Wan,103M,"Cary Elwes,Leigh Whannell,Danny Glover","         £1,239,813        

      (UK)
      ",2004,"Horror,Mystery,Thriller",7.7,"314,352"," £1,239,813"
1504,"$125,531,634","PG-13,2004-12-10",Ocean's Twelve,"6.5 based on 299,010 user ratings","$110,000,000",Steven Soderbergh,125M,"George Clooney,Brad Pitt,Julia Roberts","         $39,153,380        

      (USA)
      ",2004,"Crime,Thriller",6.5,"299,010"," $39,153,380"
1505,"$77,862,546","R,2004-04-23",Man on Fire,"7.7 based on 279,203 user ratings","$70,000,000",Tony Scott,146M,"Denzel Washington,Christopher Walken,Dakota Fanning","         $22,751,490        

      (USA)
      ",2004,"Action,Crime,Drama",7.7,"279,203"," $22,751,490"
1506,"$118,627,117","PG,2004-12-17",A Series of Unfortunate Events,"6.8 based on 169,227 user ratings","$140,000,000",Brad Silberling,108M,"Jim Carrey,Jude Law,Meryl Streep","         £2,210,979        

      (UK)
      ",2004,"Adventure,Comedy,Family",6.8,"169,227"," £2,210,979"
1507,"$186,739,919","PG-13,2004-05-28",The Day After Tomorrow,"6.4 based on 349,399 user ratings","$125,000,000",Roland Emmerich,124M,"Dennis Quaid,Jake Gyllenhaal,Emmy Rossum","         £7,321,633        

      (UK)
      ",2004,"Action,Adventure,Sci-Fi",6.4,"349,399"," £7,321,633"
1508,"$58,885,635","R,2004-03-19",Dawn of the Dead,"7.4 based on 202,248 user ratings","$26,000,000",Zack Snyder,101M,"Sarah Polley,Ving Rhames,Mekhi Phifer","         $26,722,575        

      (USA)
      ",2004,"Action,Horror,Thriller",7.4,"202,248"," $26,722,575"
1509,"$57,637,485","PG-13,2004-06-11",The Chronicles of Riddick,"6.7 based on 190,550 user ratings","$105,000,000",David Twohy,119M,"Vin Diesel,Judi Dench,Colm Feore","         $24,289,165        

      (USA)
      ",2004,"Action,Adventure,Sci-Fi",6.7,"190,550"," $24,289,165"
1510,"$60,057,639","R,2003-11-26",Bad Santa,"7.1 based on 116,593 user ratings","$23,000,000",Terry Zwigoff,91M,"Billy Bob Thornton,Bernie Mac,Lauren Graham","         $12,292,952        

      (USA)
      ",2003,"Comedy,Crime,Drama",7.1,"116,593"," $12,292,952"
