,gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre,rating,audience,First_Week
2123,"$25,528,495","R,2001-08-17",Captain Corelli's Mandolin,"5.9 based on 28,950 user ratings","$57,000,000",John Madden,131M,"Nicolas Cage,Penélope Cruz,John Hurt","         £1,722,799        

      (UK)
      ",2001,"Drama,Music,Romance",5.9,"28,950"," £1,722,799"
2124,"$69,688,384","PG,2000-07-07",The Kid,"6.1 based on 35,551 user ratings","$65,000,000",Jon Turteltaub,104M,"Bruce Willis,Spencer Breslin,Emily Mortimer","         $12,687,726        

      (USA)
      ",2000,"Comedy,Family,Fantasy",6.1,"35,551"," $12,687,726"
2125,"$30,199,105","R,2000-08-25",The Art of War,"5.7 based on 25,858 user ratings","$60,000,000",Christian Duguay,117M,"Wesley Snipes,Anne Archer,Maury Chaykin","         $10,410,993        

      (USA)
      ",2000,"Action,Adventure,Crime",5.7,"25,858"," $10,410,993"
2126,"$10,956,379","PG-13,2007-09-14",Dragon Wars: D-War,"3.6 based on 21,875 user ratings","$35,000,000",Hyung-rae Shim,90M,"Jason Behr,Amanda Brooks,Robert Forster","         $5,041,239        

      (USA)
      ",2007,"Action,Drama,Fantasy",3.6,"21,875"," $5,041,239"
2129,"$15,527,125","PG-13,2000-12-25",All the Pretty Horses,"5.8 based on 11,690 user ratings","$57,000,000",Billy Bob Thornton,116M,"Matt Damon,Penélope Cruz,Henry Thomas","         $4,860,556        

      (USA)
      ",2000,"Drama,Romance,Western",5.8,"11,690"," $4,860,556"
2130,"$123,307,945","PG-13,2000-07-28",Nutty Professor II: The Klumps,"4.3 based on 40,988 user ratings","$84,000,000",Peter Segal,106M,"Eddie Murphy,Janet Jackson,Larry Miller","         $42,518,830        

      (USA)
      ",2000,"Comedy,Romance,Sci-Fi",4.3,"40,988"," $42,518,830"
2132,"$63,231,524","PG-13,2006-02-24",Madea's Family Reunion,"5.1 based on 9,250 user ratings","$6,000,000",Tyler Perry,107M,"Tyler Perry,Blair Underwood,Lynn Whitfield","         $30,030,661        

      (USA)
      ",2006,"Comedy,Drama,Romance",5.1,"9,250"," $30,030,661"
2134,"$13,349,251","PG-13,2007-10-19",The Comebacks,"4.2 based on 10,198 user ratings","$20,000,000",Tom Brady,84M,"David Koechner,Robert Ri'chard,Carl Weathers","         $5,554,594        

      (USA)
      ",2007,"Comedy,Sport",4.2,"10,198"," $5,554,594"
2135,"$28,424,210","PG,2006-06-16",Garfield: A Tail of Two Kitties,"5.0 based on 29,626 user ratings","$60,000,000",Tim Hill,86M,"Breckin Meyer,Jennifer Love Hewitt,Billy Connolly","         $886,744        

      (Brazil)
      ",2006,"Animation,Comedy,Family",5.0,"29,626"," $886,744"
2136,"$13,367,101","R,2006-04-21",Friends with Money,"5.9 based on 20,350 user ratings","$6,500,000",Nicole Holofcener,88M,"Jennifer Aniston,Frances McDormand,Catherine Keener","         $589,332        

      (USA)
      ",2006,"Comedy,Drama,Romance",5.9,"20,350"," $589,332"
