gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre
,"PG-13,1984-08-24",Oxford Blues,"5.3 based on 2,472 user ratings",,Robert Boris,PT97M,"Rob Lowe,Ally Sheedy,Amanda Pays",,1984,"Comedy,Drama,Sport"
,"R,1983-03-25",Spring Break,"4.7 based on 1,852 user ratings",,Sean S. Cunningham,PT102M,"David Knell,Steve Bassett,Perry Lang",,1983,"Comedy,Romance"
,"PG,1983-06-24",Yellowbeard,"6.0 based on 6,196 user ratings",,Mel Damski,PT96M,"Graham Chapman,Peter Boyle,Cheech Marin",,1983,"Action,Adventure,Comedy"
,"R,1983-12-16",Uncommon Valor,"6.4 based on 7,437 user ratings",,Ted Kotcheff,PT105M,"Gene Hackman,Patrick Swayze,Robert Stack",,1983,"Action,Drama,Thriller"
,"R,1983-05-06",Doctor Detroit,"5.1 based on 4,429 user ratings",,Michael Pressman,PT89M,"Dan Aykroyd,Howard Hesseman,Donna Dixon",,1983,Comedy
"        $5,588,800        

      ","R,1982-05-07",Paradise,"4.8 based on 2,012 user ratings","        CAD 3,500,000        

      ",Stuart Gillard,PT100M,"Willie Aames,Phoebe Cates,Tuvia Tavi","         $2,815,503        

      (USA)
      ",1982,"Adventure,Romance"
,"R,1981-04-10",Nighthawks,"6.4 based on 13,283 user ratings","        $5,000,000        

      ",Bruce Malmuth,PT99M,"Sylvester Stallone,Rutger Hauer,Billy Dee Williams",,1981,"Action,Crime,Thriller"
,"R,1979-09-30",Luna,"6.7 based on 3,352 user ratings",,Bernardo Bertolucci,PT142M,"Jill Clayburgh,Matthew Barry,Veronica Lazar",,1979,Drama
,"PG,1978-12-22",California Suite,"6.2 based on 5,201 user ratings",,Herbert Ross,PT103M,"Jane Fonda,Alan Alda,Maggie Smith",,1978,"Comedy,Drama,Romance"
,"R,1979-10-26",When a Stranger Calls,"6.6 based on 7,159 user ratings","        $1,500,000        

      ",Fred Walton,PT97M,"Carol Kane,Charles Durning,Rutanya Alda",,1979,"Crime,Drama,Horror"
,"R,1978-03-10",The Fury,"6.4 based on 10,282 user ratings","        $5,500,000        

      ",Brian De Palma,PT118M,"Kirk Douglas,John Cassavetes,Carrie Snodgress",,1978,"Horror,Sci-Fi"
,"PG,1977-05-25",3 Women,"7.9 based on 10,256 user ratings","        $1,500,000        

      ",Robert Altman,PT124M,"Shelley Duvall,Sissy Spacek,Janice Rule",,1977,"Drama,Mystery,Thriller"
,"R,1975-12-06",Deep Throat Part II,4.5 based on 362 user ratings,,Joseph W. Sarno,PT88M,"Linda Lovelace,Harry Reems,Levi Richards",,1974,"Adult,Comedy"
,"PG,1977-10-21",Damnation Alley,"5.2 based on 3,885 user ratings","        $17,000,000        

      ",Jack Smight,PT91M,"Jan-Michael Vincent,George Peppard,Dominique Sanda",,1977,Sci-Fi
,"PG,1978-01-20",Julia,"7.4 based on 6,956 user ratings","        $7,840,000        

      ",Fred Zinnemann,PT117M,"Jane Fonda,Vanessa Redgrave,Jason Robards",,1977,Drama
,"PG,1976-10-22",Car Wash,"5.9 based on 5,056 user ratings",,Michael Schultz,PT97M,"Richard Pryor,Franklyn Ajaye,Darrow Igus",,1976,"Comedy,Drama,Romance"
,"PG,1977-11-03",Bobby Deerfield,"5.9 based on 3,033 user ratings",,Sydney Pollack,PT124M,"Al Pacino,Marthe Keller,Anny Duperey",,1977,"Drama,Romance"
,2015-08-21,The Curse of Downers Grove,"4.5 based on 1,296 user ratings","        $2,000,000        

      ",Derick Martini,PT89M,"Bella Heathcote,Lucas Till,Helen Slater",,2015,"Drama,Horror,Mystery"
,"R,1973-12-01",Fantastic Planet,"7.8 based on 15,155 user ratings",,René Laloux,PT72M,"Barry Bostwick,Jennifer Drake,Eric Baugin",,1973,"Animation,Drama,Sci-Fi"
"        $79,700,000        

      ","PG,1974-11-15",Earthquake,"5.8 based on 10,960 user ratings","        $7,000,000        

      ",Mark Robson,PT123M,"Charlton Heston,Ava Gardner,George Kennedy",,1974,"Action,Drama,Thriller"
,"PG-13,2015-03-20",Tracers,"5.6 based on 14,912 user ratings","        $11,000,000        

      ",Daniel Benmayor,PT94M,"Taylor Lautner,Marie Avgeropoulos,Adam Rayner",,2015,"Action,Crime,Drama"
,"UNRATED,1976-11-13",Supervixens,"6.1 based on 3,555 user ratings","        $100,000        

      ",Russ Meyer,PT106M,"Charles Pitts,Shari Eubank,Charles Napier",,1975,Comedy
,"PG,1979-02-02",The Great Train Robbery,"7.0 based on 12,270 user ratings","        $6,000,000        

      ",Michael Crichton,PT110M,"Sean Connery,Donald Sutherland,Lesley-Anne Down",,1979,"Adventure,Crime,Drama"
,,Born to Be King,,,,,,,See all in-development titles on IMDbPro,Comedy
"        $27,689,474        

      ","R,2014-04-11",Oculus,"6.5 based on 92,580 user ratings","        $5,000,000        

      ",Mike Flanagan,PT104M,"Karen Gillan,Brenton Thwaites,Katee Sackhoff","         $12,005,402        

      (USA)
      ",2013,"Horror,Mystery"
,"R,1983-09-02",Merry Christmas Mr. Lawrence,"7.3 based on 11,476 user ratings",,Nagisa Ôshima,PT123M,"David Bowie,Tom Conti,Ryuichi Sakamoto",,1983,"Drama,War"
,,Trinity,,,Chris Eigeman,,,,2017,"Drama,Romance,War"
,"UNRATED,1983-05-06",City of the Living Dead,"6.3 based on 12,368 user ratings",,Lucio Fulci,PT93M,"Christopher George,Catriona MacColl,Carlo De Mejo",,1980,Horror
,"G,1981-06-26",The Great Muppet Caper,"7.2 based on 10,566 user ratings",,Jim Henson,PT95M,"Jim Henson,Frank Oz,Dave Goelz",,1981,"Adventure,Comedy,Crime"
,"PG,1983-10-28",Educating Rita,"7.2 based on 10,210 user ratings",,Lewis Gilbert,PT110M,"Michael Caine,Julie Walters,Michael Williams",,1983,"Comedy,Drama"
"        $11,800,000        

      ","PG,1983-08-25",Zelig,"7.8 based on 33,517 user ratings",,Woody Allen,PT79M,"Woody Allen,Mia Farrow,Patrick Horgan",,1983,Comedy
,"R,1981-10-16",The French Lieutenant's Woman,"7.0 based on 9,669 user ratings",,Karel Reisz,PT124M,"Meryl Streep,Jeremy Irons,Hilton McRae",,1981,"Drama,Romance"
,"R,2006-07-13",2001 Maniacs,"5.4 based on 10,672 user ratings","        $3,000,000        

      ",Tim Sullivan,PT87M,"Robert Englund,Lin Shaye,Giuseppe Andrews",,2005,"Comedy,Horror"
"        $6,273        

      ","R,2008-04-11",Slipstream,"5.1 based on 4,267 user ratings",,Anthony Hopkins,PT96M,"Anthony Hopkins,Stella Arroyave,Christian Slater","         $6,273        

      (USA)
      ",2007,"Comedy,Drama,Fantasy"
"        $4,131,640        

      ","PG-13,2008-02-22",Witless Protection,"3.2 based on 5,547 user ratings","        $7,500,000        

      ",Charles Robert Carner,PT97M,"Larry the Cable Guy,Jenny McCarthy,Richard Bull","         $2,116,692        

      (USA)
      ",2008,"Comedy,Crime"
,"R,2005-07-27",Dead Scared,"5.6 based on 1,553 user ratings",,Rolfe Kanefsky,PT87M,"Brad Dourif,Brooke Burke-Charvet,Nectar Rose",,2004,"Comedy,Horror"
"        $23,838        

      ","R,2013-09-19",The Last Days on Mars,"5.5 based on 30,328 user ratings","        £7,000,000        

      ",Ruairi Robinson,PT98M,"Liev Schreiber,Elias Koteas,Romola Garai","         $4,608        

      (USA)
      ",2013,"Horror,Sci-Fi,Thriller"
"        $12,549,485        

      ","R,2006-08-25",Idlewild,"6.2 based on 4,703 user ratings","        $15,000,000        

      ",Bryan Barber,PT121M,"Big Boi,Terrence Howard,André Benjamin","         $5,745,780        

      (USA)
      ",2006,"Crime,Drama,Musical"
"        $1,889,522        

      ","G,2011-10-21",The Mighty Macs,"6.5 based on 1,160 user ratings","        $7,000,000        

      ",Tim Chambers,PT99M,"Carla Gugino,Marley Shelton,Ellen Burstyn","         $963,221        

      (USA)
      ",2009,"Drama,Sport"
"        $333,912        

      ","R,2008-12-05",Nobel Son,"6.4 based on 5,113 user ratings","        $4,000,000        

      ",Randall Miller,PT110M,"Alan Rickman,Bryan Greenberg,Shawn Hatosy","         $333,912        

      (USA)
      ",2007,"Comedy,Crime,Drama"
"        $1,373,400        

      ","PG,2007-03-23",Pride,"5.8 based on 5,648 user ratings",,Sunu Gonera,PT104M,"Terrence Howard,Bernie Mac,Kimberly Elise","         $3,533,300        

      (USA)
      ",2007,"Drama,Family,Sport"
,2009-07-03,Red Mist,"5.0 based on 2,410 user ratings","        $3,000,000        

      ",Paddy Breathnach,PT82M,"Arielle Kebbel,Sarah Carter,Stephen Dillane",,2008,"Horror,Thriller"
"        $5,518,918        

      ","R,2007-04-13",Aqua Teen Hunger Force Colon Movie Film for Theaters,"6.9 based on 12,363 user ratings","        $750,000        

      ",Matt Maiellaro,PT86M,"Dana Snyder,Dave Willis,Carey Means","         $3,005,175        

      (USA)
      ",2007,"Animation,Action,Adventure"
"        $6,852,144        

      ","PG-13,2003-03-14",Willard,"6.2 based on 15,605 user ratings","        $22,000,000        

      ",Glen Morgan,PT100M,"Crispin Glover,R. Lee Ermey,Laura Harring","         $4,010,593        

      (USA)
      ",2003,"Drama,Horror,Sci-Fi"
"        $5,644,575        

      ","R,2004-03-26",Never Die Alone,"5.7 based on 4,934 user ratings","        $3,000,000        

      ",Ernest R. Dickerson,PT88M,"DMX,David Arquette,Michael Ealy","         $3,089,993        

      (USA)
      ",2004,"Action,Crime,Drama"
"        $9,074,550        

      ","PG-13,2003-08-29",Le divorce,"4.9 based on 9,923 user ratings",,James Ivory,PT117M,"Kate Hudson,Naomi Watts,Stockard Channing","         $516,834        

      (USA)
      ",2003,"Drama,Romance,Comedy"
"        $39,880,476        

      ","PG,2002-12-20",The Wild Thornberrys Movie,"5.3 based on 12,524 user ratings","        $25,000,000        

      ",Cathy Malkasian,PT85M,"Tim Curry,Rupert Everett,Flea","         $6,013,847        

      (USA)
      ",2002,"Adventure,Animation,Family"
"        $13,922,019        

      ","PG,2007-04-04",Firehouse Dog,"5.5 based on 4,903 user ratings",,Todd Holland,PT111M,"Josh Hutcherson,Bruce Greenwood,Bree Turner","         $3,838,916        

      (USA)
      ",2007,"Action,Comedy,Family"
"        $14,294,842        

      ","R,2002-09-20",Ballistic: Ecks vs. Sever,"3.6 based on 17,090 user ratings","        $70,000,000        

      ",Wych Kaosayananda,PT91M,"Antonio Banderas,Lucy Liu,Talisa Soto","         $7,010,474        

      (USA)
      ",2002,"Action,Crime,Sci-Fi"
,"R,2009-04-02",It's Alive,"3.5 based on 2,411 user ratings","        $10,000,000        

      ",Josef Rusnak,PT80M,"Bijou Phillips,James Murray,Raphaël Coleman",,2008,"Horror,Sci-Fi"
"        $5,516,708        

      ","R,2001-03-23",Say It Isn't So,"4.9 based on 11,624 user ratings","        $25,000,000        

      ",J.B. Rogers,PT95M,"Chris Klein,Heather Graham,Orlando Jones","         $2,861,903        

      (USA)
      ",2001,"Comedy,Romance"
"        $23,978,402        

      ","PG-13,2001-10-12",Corky Romano,"4.6 based on 11,183 user ratings","        $11,000,000        

      ",Rob Pritts,PT86M,"Chris Kattan,Peter Falk,Vinessa Shaw","         $9,023,173        

      (USA)
      ",2001,"Comedy,Crime"
