Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
09/21/16,0.014921,0.014923,0.014922,0.00,0.01,-92.86,0.014922,0.014922
09/20/16,0.014919,0.014921,0.014920,0.00,-0.07,-92.86,0.014920,0.014920
09/19/16,0.014930,0.014932,0.014931,0.00,0.05,-92.86,0.014931,0.014931
09/16/16,0.014922,0.014924,0.014923,0.00,-0.05,-92.86,0.014923,0.014923
09/15/16,0.014930,0.014932,0.014931,0.00,-0.14,-92.86,0.014931,0.014931
09/14/16,0.014950,0.014952,0.014951,0.00,0.03,-92.85,0.014951,0.014951
09/13/16,0.014945,0.014948,0.014947,0.00,0.00,-92.85,0.014947,0.014947
09/12/16,0.014945,0.014948,0.014947,0.00,-0.24,-92.85,0.014947,0.014947
09/09/16,0.014982,0.014984,0.014983,0.00,-0.49,-92.83,0.014983,0.014983
09/08/16,0.015056,0.015058,0.015057,0.00,-0.06,-92.80,0.015057,0.015057
09/07/16,0.015064,0.015066,0.015065,0.00,0.24,-92.79,0.015065,0.015065
09/06/16,0.015028,0.015030,0.015029,0.00,0.47,-92.81,0.015029,0.015029
09/05/16,0.014957,0.014959,0.014958,0.00,0.00,-92.84,0.014958,0.014958
09/02/16,0.014957,0.014959,0.014958,0.00,0.21,-92.84,0.014958,0.014958
09/01/16,0.014925,0.014928,0.014926,0.00,-0.04,-92.86,0.014926,0.014926
08/31/16,0.014931,0.014933,0.014932,0.00,0.13,-92.85,0.014932,0.014932
08/30/16,0.014912,0.014914,0.014913,0.00,0.21,-92.86,0.014913,0.014913
08/29/16,0.014881,0.014883,0.014882,0.00,-0.21,-92.88,0.014882,0.014882
08/26/16,0.014912,0.014914,0.014913,0.00,-0.03,-92.86,0.014913,0.014913
08/25/16,0.014916,0.014918,0.014917,0.00,0.12,-92.86,0.014917,0.014917
08/24/16,0.014899,0.014901,0.014900,0.00,-0.09,-92.87,0.014900,0.014900
08/23/16,0.014912,0.014914,0.014913,0.00,0.20,-92.86,0.014913,0.014913
08/22/16,0.014883,0.014885,0.014884,0.00,-0.22,-92.88,0.014884,0.014884
08/19/16,0.014916,0.014918,0.014917,0.00,-0.33,-92.86,0.014917,0.014917
08/18/16,0.014966,0.014968,0.014967,0.00,-0.07,-92.84,0.014967,0.014967
08/17/16,0.014976,0.014978,0.014977,0.00,0.00,-92.83,0.014977,0.014977
08/16/16,0.014976,0.014978,0.014977,0.00,0.13,-92.83,0.014977,0.014977
08/15/16,0.014957,0.014959,0.014958,0.00,0.00,-92.84,0.014958,0.014958
08/12/16,0.014957,0.014959,0.014958,0.00,-0.04,-92.84,0.014958,0.014958
08/11/16,0.014963,0.014966,0.014964,0.00,-0.20,-92.84,0.014964,0.014964
08/10/16,0.014993,0.014995,0.014994,0.00,0.27,-92.83,0.014994,0.014994
08/09/16,0.014953,0.014954,0.014954,0.00,-0.07,-92.84,0.014954,0.014954
08/08/16,0.014963,0.014964,0.014964,0.00,-0.08,-92.84,0.014964,0.014964
08/05/16,0.014975,0.014977,0.014976,0.00,0.26,-92.83,0.014976,0.014976
08/04/16,0.014937,0.014939,0.014938,0.00,0.04,-92.85,0.014938,0.014938
08/03/16,0.014930,0.014933,0.014932,0.00,-0.34,-92.86,0.014932,0.014932
08/02/16,0.014981,0.014984,0.014982,0.00,0.03,-92.83,0.014982,0.014982
08/01/16,0.014977,0.014979,0.014978,0.00,0.33,-92.83,0.014978,0.014978
07/29/16,0.014928,0.014930,0.014929,0.00,0.14,-92.86,0.014929,0.014929
07/28/16,0.014907,0.014909,0.014908,0.00,0.12,-92.87,0.014908,0.014908
07/27/16,0.014890,0.014892,0.014891,0.00,0.16,-92.87,0.014891,0.014891
07/26/16,0.014865,0.014868,0.014867,0.00,0.08,-92.89,0.014867,0.014867
07/25/16,0.014854,0.014856,0.014855,0.00,-0.31,-92.89,0.014855,0.014855
07/22/16,0.014900,0.014903,0.014901,0.00,0.14,-92.87,0.014901,0.014901
07/21/16,0.014880,0.014882,0.014881,0.00,0.00,-92.88,0.014881,0.014881
07/20/16,0.014880,0.014882,0.014881,0.00,-0.07,-92.88,0.014881,0.014881
07/19/16,0.014891,0.014893,0.014892,0.00,0.06,-92.87,0.014892,0.014892
07/18/16,0.014882,0.014884,0.014883,0.00,-0.19,-92.88,0.014883,0.014883
07/15/16,0.014911,0.014913,0.014912,0.00,-0.21,-92.86,0.014912,0.014912
07/14/16,0.014942,0.014944,0.014943,0.00,0.19,-92.85,0.014943,0.014943
07/13/16,0.014914,0.014916,0.014915,0.00,0.16,-92.86,0.014915,0.014915
07/12/16,0.014890,0.014892,0.014891,0.00,0.02,-92.87,0.014891,0.014891
07/11/16,0.014885,0.014889,0.014887,0.00,0.28,-92.88,0.014887,0.014887
07/08/16,0.014845,0.014847,0.014846,0.00,0.04,-92.90,0.014846,0.014846
07/07/16,0.014838,0.014840,0.014839,0.00,0.13,-92.90,0.014839,0.014839
07/06/16,0.014819,0.014821,0.014820,0.00,0.00,-92.91,0.014820,0.014820
07/05/16,0.014819,0.014821,0.014820,0.00,-0.30,-92.91,0.014820,0.014820
07/04/16,0.014863,0.014865,0.014864,0.00,0.10,-92.89,0.014864,0.014864
07/01/16,0.014848,0.014850,0.014849,0.00,0.22,-92.89,0.014849,0.014849
06/30/16,0.014815,0.014817,0.014816,0.00,0.30,-92.91,0.014816,0.014816
06/29/16,0.014771,0.014773,0.014772,0.00,0.35,-92.93,0.014772,0.014772
06/28/16,0.014719,0.014721,0.014720,0.00,0.06,-92.96,0.014720,0.014720
06/27/16,0.014711,0.014713,0.014712,0.00,-0.13,-92.96,0.014712,0.014712
06/24/16,0.014730,0.014732,0.014731,0.00,-0.90,-92.95,0.014731,0.014731
06/23/16,0.014863,0.014865,0.014864,0.00,0.26,-92.89,0.014864,0.014864
06/22/16,0.014824,0.014826,0.014825,0.00,0.10,-92.91,0.014825,0.014825
06/21/16,0.014809,0.014812,0.014810,0.00,-0.21,-92.91,0.014810,0.014810
06/20/16,0.014840,0.014842,0.014841,0.00,-0.43,-92.90,0.014841,0.014841
06/17/16,0.014904,0.014906,0.014905,0.00,0.28,-92.87,0.014905,0.014905
