"","player_name","FG.Percent","FG.Count","ThreePoint.Percent","Three.Count"
"47","cody zeller",0.467236467236467,351,1,1
"48","cory joseph",0.518181818181818,330,0.413793103448276,29
"49","courtney lee",0.476394849785408,466,0.444444444444444,162
"50","D.J. Augustin",0.415841584158416,505,0.343195266272189,169
"51","damian lillard",0.43717549325026,963,0.342298288508557,409
"52","damjan rudez",0.433862433862434,189,0.363636363636364,121
"53","Danilo Gallinari",0.375375375375375,333,0.333333333333333,186
"54","danny green",0.429906542056075,535,0.395770392749245,331
"55","dante cunningham",0.459349593495935,246,0,2
"56","dante exum",0.348920863309353,278,0.30635838150289,173
"57","darrell arthur",0.423188405797101,345,0.254901960784314,102
"58","darren collison",0.483870967741935,527,0.393103448275862,145
"59","david west",0.480392156862745,510,0.266666666666667,15
"60","deandre jordan",0.72,375,0,1
"61","demarcus cousins",0.465295629820051,778,1,2
"62","demarre carroll",0.478260869565217,437,0.407035175879397,199
"63","dennis schroder",0.436651583710407,442,0.352941176470588,85
"64","deron williams",0.392857142857143,504,0.355263157894737,152
"65","derrick favors",0.545317220543807,662,0,1
"66","derrick rose",0.408488063660477,754,0.294117647058824,238
"67","derrick williams",0.444043321299639,277,0.307692307692308,78
"68","devin harris",0.412322274881517,422,0.354260089686099,223
"69","Dirk Nowitzki",0.461728395061728,810,0.359223300970874,206
"70","donald sloan",0.415902140672783,327,0.333333333333333,120
"71","donatas motiejunas",0.510489510489511,572,0.375,104
"72","draymond green",0.445488721804511,532,0.351464435146443,239
"73","dwight howard",0.578461538461538,325,1,1
"74","dwyane wade",0.471861471861472,693,0.245614035087719,57
"75","elfrid payton",0.413502109704641,474,0.157894736842105,19
"76","enes kanter",0.501612903225806,620,0.333333333333333,39
"77","eric bledsoe",0.459568733153639,742,0.347593582887701,187
"78","evan fournier",0.44280442804428,542,0.383495145631068,206
"79","evan turner",0.406122448979592,490,0.296296296296296,81
"80","garrett temple",0.394904458598726,157,0.375,80
"81","gary neal",0.372767857142857,448,0.305194805194805,154
"82","gerald green",0.410801963993453,611,0.358064516129032,310
"83","gerald henderson",0.438181818181818,550,0.314606741573034,89
"84","giannis antetokounmpo",0.492565055762082,538,0.193548387096774,31
"85","glen davis",0.477011494252874,174,0,2
